Asset,Filter,Same-Window OOS Prof%,Pool Size,Lift vs Baseline (pp)
BTC,No filter,31.95,872472,0.0
BTC,IS PF>1,34.18,478754,2.23
BTC,MC-ROI p50,30.58,326432,-1.37
BTC,MC-ROI p75,30.46,149593,-1.48
BTC,MC-ROI p90,30.89,57315,-1.06
BTC,MC-Sharpe p50,30.66,319367,-1.29
BTC,MC-Sharpe p75,30.36,144973,-1.58
BTC,MC-PF p50,29.82,279936,-2.13
BTC,MC-PF p75,29.45,118854,-2.5
BTC,MC-ROI p50 + IS PF>1,32.78,171506,0.83
BTC,MC-ROI p75 + IS PF>1,32.38,78048,0.43
BTC,MC-ROI p90 + IS PF>1,32.38,29886,0.43
BTC,MC-Sharpe p50 + IS PF>1,32.84,167476,0.89
BTC,MC-Sharpe p75 + IS PF>1,32.38,75270,0.43
BTC,MC-PF p50 + IS PF>1,32.28,142144,0.33
BTC,MC-PF p75 + IS PF>1,31.91,58720,-0.04
DOGE,No filter,35.98,672895,0.0
DOGE,IS PF>1,38.62,392959,2.63
DOGE,MC-ROI p50,34.79,252864,-1.19
DOGE,MC-ROI p75,34.6,115617,-1.38
DOGE,MC-ROI p90,34.66,44462,-1.33
DOGE,MC-Sharpe p50,34.82,247258,-1.16
DOGE,MC-Sharpe p75,34.56,112130,-1.43
DOGE,MC-PF p50,34.27,217775,-1.71
DOGE,MC-PF p75,33.95,92309,-2.03
DOGE,MC-ROI p50 + IS PF>1,37.5,141777,1.51
DOGE,MC-ROI p75 + IS PF>1,37.23,64073,1.25
DOGE,MC-ROI p90 + IS PF>1,37.19,24311,1.2
DOGE,MC-Sharpe p50 + IS PF>1,37.5,138475,1.51
DOGE,MC-Sharpe p75 + IS PF>1,37.24,61909,1.26
DOGE,MC-PF p50 + IS PF>1,37.42,119098,1.43
DOGE,MC-PF p75 + IS PF>1,37.46,49142,1.48
BNB,No filter,29.07,995808,0.0
BNB,IS PF>1,32.07,507778,3.01
BNB,MC-ROI p50,27.64,369663,-1.43
BNB,MC-ROI p75,27.4,168130,-1.66
BNB,MC-ROI p90,27.12,63722,-1.95
BNB,MC-Sharpe p50,27.62,359889,-1.45
BNB,MC-Sharpe p75,27.36,162397,-1.71
BNB,MC-PF p50,26.66,317147,-2.4
BNB,MC-PF p75,26.12,135165,-2.94
BNB,MC-ROI p50 + IS PF>1,30.86,179997,1.79
BNB,MC-ROI p75 + IS PF>1,30.63,80903,1.56
BNB,MC-ROI p90 + IS PF>1,30.35,30445,1.28
BNB,MC-Sharpe p50 + IS PF>1,30.84,174337,1.78
BNB,MC-Sharpe p75 + IS PF>1,30.7,77755,1.63
BNB,MC-PF p50 + IS PF>1,30.06,146911,1.0
BNB,MC-PF p75 + IS PF>1,29.56,60616,0.49
SOL,No filter,39.24,232560,0.0
SOL,IS PF>1,41.19,154204,1.95
SOL,MC-ROI p50,38.01,85032,-1.24
SOL,MC-ROI p75,37.6,39475,-1.65
SOL,MC-ROI p90,37.55,15125,-1.69
SOL,MC-Sharpe p50,38.0,84061,-1.24
SOL,MC-Sharpe p75,37.54,38414,-1.71
SOL,MC-PF p50,37.36,73554,-1.88
SOL,MC-PF p75,36.53,31277,-2.72
SOL,MC-ROI p50 + IS PF>1,40.1,54199,0.86
SOL,MC-ROI p75 + IS PF>1,39.53,25033,0.29
SOL,MC-ROI p90 + IS PF>1,39.22,9596,-0.02
SOL,MC-Sharpe p50 + IS PF>1,40.03,53550,0.78
SOL,MC-Sharpe p75 + IS PF>1,39.65,24250,0.4
SOL,MC-PF p50 + IS PF>1,39.66,46515,0.41
SOL,MC-PF p75 + IS PF>1,38.81,19382,-0.43
