Asset,Class,Method,N_strategies,N_obs,Pass_rate,Pass_OOS_pct,Fail_OOS_pct,Lift_pp,Corr_rank_oos
BTC,Crypto,i.i.d. (b=1),24565,624160,35.8,30.3,32.3,-1.29,-0.0253
BTC,Crypto,Block (b=2),24565,624160,35.2,30.2,32.3,-1.37,-0.0272
BTC,Crypto,Block (b=3),24565,624160,34.6,30.2,32.3,-1.39,-0.0309
BTC,Crypto,Block (b=5),24565,624160,33.1,29.8,32.5,-1.8,-0.0402
BTC,Crypto,Block (b=10),24565,624160,30.9,29.7,32.4,-1.91,-0.0429
BTC,Crypto,Block (b=20),24565,624160,29.7,30.1,32.2,-1.52,-0.0285
DOGE,Crypto,i.i.d. (b=1),29807,589678,35.9,35.0,36.4,-0.89,-0.017
DOGE,Crypto,Block (b=2),29807,589678,35.3,34.9,36.4,-0.97,-0.0189
DOGE,Crypto,Block (b=3),29807,589678,34.7,34.8,36.4,-1.07,-0.0212
DOGE,Crypto,Block (b=5),29807,589678,33.3,34.6,36.5,-1.25,-0.0275
DOGE,Crypto,Block (b=10),29807,589678,31.2,34.5,36.5,-1.34,-0.0301
DOGE,Crypto,Block (b=20),29807,589678,29.7,34.7,36.4,-1.2,-0.0241
BNB,Crypto,i.i.d. (b=1),31083,866736,35.6,27.2,29.4,-1.42,-0.0289
BNB,Crypto,Block (b=2),31083,866736,35.1,27.1,29.4,-1.49,-0.0312
BNB,Crypto,Block (b=3),31083,866736,34.4,26.9,29.4,-1.65,-0.0351
BNB,Crypto,Block (b=5),31083,866736,33.0,26.7,29.5,-1.92,-0.0444
BNB,Crypto,Block (b=10),31083,866736,30.9,26.5,29.5,-2.09,-0.0487
BNB,Crypto,Block (b=20),31083,866736,29.6,27.0,29.2,-1.6,-0.0329
SOL,Crypto,i.i.d. (b=1),30732,199956,35.8,38.2,39.6,-0.89,-0.0183
SOL,Crypto,Block (b=2),30732,199956,35.3,38.1,39.6,-0.99,-0.0217
SOL,Crypto,Block (b=3),30732,199956,34.5,38.0,39.7,-1.08,-0.0245
SOL,Crypto,Block (b=5),30732,199956,32.9,37.6,39.8,-1.49,-0.0305
SOL,Crypto,Block (b=10),30732,199956,30.8,37.6,39.7,-1.5,-0.0338
SOL,Crypto,Block (b=20),30732,199956,29.6,37.6,39.7,-1.46,-0.0265
EUR/USD,Forex,i.i.d. (b=1),49538,635874,29.1,27.8,30.5,-1.87,-0.0355
EUR/USD,Forex,Block (b=2),49538,635874,28.0,27.7,30.5,-1.96,-0.0382
EUR/USD,Forex,Block (b=3),49538,635874,27.0,27.5,30.5,-2.2,-0.0426
EUR/USD,Forex,Block (b=5),49538,635874,25.6,27.1,30.6,-2.57,-0.0504
EUR/USD,Forex,Block (b=10),49538,635874,23.9,27.0,30.6,-2.71,-0.0483
EUR/USD,Forex,Block (b=20),49538,635874,24.0,28.0,30.3,-1.73,-0.0289
USD/JPY,Forex,i.i.d. (b=1),48164,673109,35.5,22.3,25.1,-1.79,-0.0421
USD/JPY,Forex,Block (b=2),48164,673109,35.0,22.2,25.1,-1.89,-0.0449
USD/JPY,Forex,Block (b=3),48164,673109,34.3,22.1,25.2,-2.05,-0.0478
USD/JPY,Forex,Block (b=5),48164,673109,33.1,21.9,25.2,-2.26,-0.0528
USD/JPY,Forex,Block (b=10),48164,673109,31.6,21.7,25.3,-2.46,-0.0597
USD/JPY,Forex,Block (b=20),48164,673109,30.5,22.0,25.1,-2.15,-0.0505
EUR/GBP,Forex,i.i.d. (b=1),50328,702578,38.3,31.7,33.3,-0.99,-0.0226
EUR/GBP,Forex,Block (b=2),50328,702578,37.8,31.7,33.4,-1.04,-0.024
EUR/GBP,Forex,Block (b=3),50328,702578,37.2,31.6,33.4,-1.15,-0.0259
EUR/GBP,Forex,Block (b=5),50328,702578,35.9,31.4,33.5,-1.34,-0.0292
EUR/GBP,Forex,Block (b=10),50328,702578,34.6,30.9,33.7,-1.84,-0.0423
EUR/GBP,Forex,Block (b=20),50328,702578,33.3,31.0,33.6,-1.71,-0.0397
XAU/USD,Commodity,i.i.d. (b=1),49587,689024,34.5,42.8,43.1,-0.18,-0.0046
XAU/USD,Commodity,Block (b=2),49587,689024,33.4,42.7,43.1,-0.28,-0.005
XAU/USD,Commodity,Block (b=3),49587,689024,32.5,42.7,43.1,-0.27,-0.0044
XAU/USD,Commodity,Block (b=5),49587,689024,30.6,42.6,43.1,-0.36,-0.0051
XAU/USD,Commodity,Block (b=10),49587,689024,28.8,42.3,43.2,-0.65,-0.0127
XAU/USD,Commodity,Block (b=20),49587,689024,28.0,42.0,43.4,-1.0,-0.0196
WTI,Commodity,i.i.d. (b=1),49652,685591,34.4,34.6,35.8,-0.74,-0.0148
WTI,Commodity,Block (b=2),49652,685591,33.3,34.5,35.8,-0.9,-0.0174
WTI,Commodity,Block (b=3),49652,685591,32.2,34.4,35.9,-1.01,-0.0197
WTI,Commodity,Block (b=5),49652,685591,30.3,34.2,35.9,-1.23,-0.0262
WTI,Commodity,Block (b=10),49652,685591,28.4,33.8,36.0,-1.58,-0.0328
WTI,Commodity,Block (b=20),49652,685591,28.0,34.3,35.8,-1.06,-0.0188
