Asset,IS PF Threshold,IS Pool,IS OOS%,MC+IS Pool,MC+IS OOS%,MC Lift vs IS gate (pp),MC-only Lift (pp)
BTC,0.9,577887,33.15,218714,31.95,-1.2,-1.32
BTC,0.95,519395,33.74,192811,32.52,-1.22,-1.32
BTC,1.0,461704,34.31,165815,33.13,-1.18,-1.32
BTC,1.05,407881,34.94,140562,33.73,-1.21,-1.32
BTC,1.1,358227,35.54,118998,34.36,-1.18,-1.32
BTC,1.2,276411,36.82,86495,35.63,-1.19,-1.32
DOGE,0.9,458532,37.87,173802,36.93,-0.94,-1.01
DOGE,0.95,415213,38.37,154725,37.39,-0.97,-1.01
DOGE,1.0,371105,38.85,133949,37.94,-0.91,-1.01
DOGE,1.05,329038,39.35,114411,38.49,-0.86,-1.01
DOGE,1.1,289245,39.86,97101,39.05,-0.81,-1.01
DOGE,1.2,223713,40.91,70742,40.21,-0.7,-1.01
BNB,0.9,619990,30.86,231895,29.6,-1.26,-1.33
BNB,0.95,555830,31.47,203952,30.19,-1.28,-1.33
BNB,1.0,493117,32.1,174584,30.83,-1.27,-1.33
BNB,1.05,436982,32.67,148606,31.43,-1.25,-1.33
BNB,1.1,385637,33.27,126258,32.06,-1.21,-1.33
BNB,1.2,302079,34.39,92809,33.29,-1.11,-1.33
SOL,0.9,160598,40.25,59335,39.23,-1.02,-1.08
SOL,0.95,146792,40.74,53446,39.69,-1.04,-1.08
SOL,1.0,132099,41.32,46628,40.26,-1.06,-1.08
SOL,1.05,117564,42.02,39934,41.12,-0.9,-1.08
SOL,1.1,103716,42.6,33983,41.69,-0.91,-1.08
SOL,1.2,80991,43.82,24874,42.88,-0.95,-1.08
