Asset,Block,Filter,OOS Prof%,Pool,Lift vs Block Baseline (pp)
BTC,Baseline,No filter,31.95,872472,0.0
BTC,Baseline,IS PF>1,34.18,478754,2.23
BTC,A: No IS PF gate,MC-ROI p50,30.58,326432,-1.37
BTC,A: No IS PF gate,MC-ROI p75,30.46,149593,-1.48
BTC,A: No IS PF gate,MC-ROI p90,30.89,57315,-1.06
BTC,A: No IS PF gate,MC-Sharpe p50,30.66,319367,-1.29
BTC,A: No IS PF gate,MC-Sharpe p75,30.36,144973,-1.58
BTC,B: With IS PF>1 gate,MC-ROI p50 + IS PF>1,32.78,171506,-1.4
BTC,B: With IS PF>1 gate,MC-ROI p75 + IS PF>1,32.38,78048,-1.8
BTC,B: With IS PF>1 gate,MC-ROI p90 + IS PF>1,32.38,29886,-1.8
BTC,B: With IS PF>1 gate,MC-Sharpe p50 + IS PF>1,32.84,167476,-1.34
BTC,B: With IS PF>1 gate,MC-Sharpe p75 + IS PF>1,32.38,75270,-1.8
DOGE,Baseline,No filter,35.98,672895,0.0
DOGE,Baseline,IS PF>1,38.62,392959,2.63
DOGE,A: No IS PF gate,MC-ROI p50,34.79,252864,-1.19
DOGE,A: No IS PF gate,MC-ROI p75,34.6,115617,-1.38
DOGE,A: No IS PF gate,MC-ROI p90,34.66,44462,-1.33
DOGE,A: No IS PF gate,MC-Sharpe p50,34.82,247258,-1.16
DOGE,A: No IS PF gate,MC-Sharpe p75,34.56,112130,-1.43
DOGE,B: With IS PF>1 gate,MC-ROI p50 + IS PF>1,37.5,141777,-1.12
DOGE,B: With IS PF>1 gate,MC-ROI p75 + IS PF>1,37.23,64073,-1.38
DOGE,B: With IS PF>1 gate,MC-ROI p90 + IS PF>1,37.19,24311,-1.43
DOGE,B: With IS PF>1 gate,MC-Sharpe p50 + IS PF>1,37.5,138475,-1.12
DOGE,B: With IS PF>1 gate,MC-Sharpe p75 + IS PF>1,37.24,61909,-1.37
BNB,Baseline,No filter,29.07,995808,0.0
BNB,Baseline,IS PF>1,32.07,507778,3.01
BNB,A: No IS PF gate,MC-ROI p50,27.64,369663,-1.43
BNB,A: No IS PF gate,MC-ROI p75,27.4,168130,-1.66
BNB,A: No IS PF gate,MC-ROI p90,27.12,63722,-1.95
BNB,A: No IS PF gate,MC-Sharpe p50,27.62,359889,-1.45
BNB,A: No IS PF gate,MC-Sharpe p75,27.36,162397,-1.71
BNB,B: With IS PF>1 gate,MC-ROI p50 + IS PF>1,30.86,179997,-1.22
BNB,B: With IS PF>1 gate,MC-ROI p75 + IS PF>1,30.63,80903,-1.45
BNB,B: With IS PF>1 gate,MC-ROI p90 + IS PF>1,30.35,30445,-1.72
BNB,B: With IS PF>1 gate,MC-Sharpe p50 + IS PF>1,30.84,174337,-1.23
BNB,B: With IS PF>1 gate,MC-Sharpe p75 + IS PF>1,30.7,77755,-1.37
SOL,Baseline,No filter,39.24,232560,0.0
SOL,Baseline,IS PF>1,41.19,154204,1.95
SOL,A: No IS PF gate,MC-ROI p50,38.01,85032,-1.24
SOL,A: No IS PF gate,MC-ROI p75,37.6,39475,-1.65
SOL,A: No IS PF gate,MC-ROI p90,37.55,15125,-1.69
SOL,A: No IS PF gate,MC-Sharpe p50,38.0,84061,-1.24
SOL,A: No IS PF gate,MC-Sharpe p75,37.54,38414,-1.71
SOL,B: With IS PF>1 gate,MC-ROI p50 + IS PF>1,40.1,54199,-1.09
SOL,B: With IS PF>1 gate,MC-ROI p75 + IS PF>1,39.53,25033,-1.66
SOL,B: With IS PF>1 gate,MC-ROI p90 + IS PF>1,39.22,9596,-1.97
SOL,B: With IS PF>1 gate,MC-Sharpe p50 + IS PF>1,40.03,53550,-1.16
SOL,B: With IS PF>1 gate,MC-Sharpe p75 + IS PF>1,39.65,24250,-1.54
