Filter,Same-Window OOS Prof%,Pool Size,Lift vs Baseline (pp)
IS PF>1,36.515,383423.75,2.455
MC-ROI p50 + IS PF>1,35.31,136869.75,1.2475
MC-Sharpe p50 + IS PF>1,35.3025,133459.5,1.24
MC-Sharpe p75 + IS PF>1,34.9925,59796.0,0.9299999999999999
MC-ROI p75 + IS PF>1,34.942499999999995,62014.25,0.8825
MC-PF p50 + IS PF>1,34.855000000000004,113667.0,0.7925
MC-ROI p90 + IS PF>1,34.785,23559.5,0.7225
MC-PF p75 + IS PF>1,34.435,46965.0,0.375
No filter,34.06,693433.75,0.0
MC-Sharpe p50,32.775,252643.75,-1.285
MC-ROI p50,32.754999999999995,258497.75,-1.3075
MC-ROI p90,32.555,45156.0,-1.5075
MC-ROI p75,32.515,118203.75,-1.5425
MC-Sharpe p75,32.455,114478.5,-1.6075
MC-PF p50,32.0275,222103.0,-2.03
MC-PF p75,31.512500000000003,94401.25,-2.5475
