Filter,Same-Window OOS Prof%,Pool Size,Lift (pp)
Rob: All 4,37.73,198277.44,6.47
Rob: ENT+IND,36.73,258809.56,5.47
Rob: SLI,36.71,281923.33,5.45
Rob: ENT,36.69,274027.67,5.43
Rob: FEE,36.63,274599.89,5.37
IS PF>1,35.8,334566.67,4.54
MC-Ulcer p50 + IS PF>1,35.26,169206.67,4.0
MC-Ulcer p75 + IS PF>1,35.25,86370.56,3.99
MC-Calmar p50 + IS PF>1,35.09,169004.44,3.83
MC-Calmar p75 + IS PF>1,34.95,85944.0,3.69
MC-MDD p50 + IS PF>1,34.69,167122.11,3.43
MC-Calmar p90 + IS PF>1,34.69,35233.67,3.43
MC-MDD p75 + IS PF>1,34.41,84542.22,3.15
MC-MDD p90 + IS PF>1,34.41,34669.44,3.15
No filter,31.26,736299.22,0.0
MC-ROI* p75,31.14,94959.67,-0.12
MC-ROI* p50,31.13,219887.56,-0.13
MC-Ulcer p50,31.13,366543.44,-0.13
MC-Calmar p50,31.09,373252.89,-0.17
MC-Calmar p75,31.05,190957.78,-0.21
MC-MDD p50,31.05,364179.89,-0.21
MC-Ulcer p75,31.04,186050.33,-0.22
MC-MDD p75,30.96,183053.33,-0.3
MC-MDD p90,30.9,74061.44,-0.36
MC-Calmar p90,30.83,79163.44,-0.43
