Asset,Metric,Filter,Pearson r,N
BTC,PF,None,nan,872468
BTC,Sharpe,None,0.049,849373
BTC,ROI,None,0.207,872472
BTC,PF,ENT,nan,393150
BTC,PF,FEE,nan,350288
BTC,PF,SLI,nan,323625
BTC,PF,ENT+IND,nan,365671
BTC,PF,All 4 Rob,nan,248106
DOGE,PF,None,nan,672887
DOGE,Sharpe,None,0.089,655221
DOGE,ROI,None,0.238,672895
DOGE,PF,ENT,nan,312018
DOGE,PF,FEE,nan,295640
DOGE,PF,SLI,nan,275938
DOGE,PF,ENT+IND,nan,293761
DOGE,PF,All 4 Rob,nan,198257
BNB,PF,None,nan,995768
BNB,Sharpe,None,0.078,968616
BNB,ROI,None,0.271,995808
BNB,PF,ENT,nan,429849
BNB,PF,FEE,nan,363935
BNB,PF,SLI,nan,335272
BNB,PF,ENT+IND,nan,394130
BNB,PF,All 4 Rob,nan,266680
SOL,PF,None,nan,232556
SOL,Sharpe,None,0.071,226511
SOL,ROI,None,0.117,232560
SOL,PF,ENT,nan,124511
SOL,PF,FEE,nan,127009
SOL,PF,SLI,nan,121711
SOL,PF,ENT+IND,nan,118858
SOL,PF,All 4 Rob,nan,88123
