Asset,MC Metric,Pearson r,p-value,R-squared %,N
BTC,ROI,-0.0314,2.06e-189,0.10,872472
BTC,Sharpe,-0.0315,6.03e-191,0.10,872472
BTC,PF,-0.0449,0.00e+00,0.20,872472
DOGE,ROI,-0.0257,4.62e-99,0.07,672895
DOGE,Sharpe,-0.0250,8.74e-94,0.06,672895
DOGE,PF,-0.0351,5.39e-182,0.12,672895
BNB,ROI,-0.0328,2.50e-235,0.11,995808
BNB,Sharpe,-0.0335,5.70e-245,0.11,995808
BNB,PF,-0.0524,0.00e+00,0.27,995808
SOL,ROI,-0.0253,2.79e-34,0.06,232560
SOL,Sharpe,-0.0254,1.35e-34,0.06,232560
SOL,PF,-0.0359,4.38e-67,0.13,232560
