Asset,Filter,Threshold,N Pass,N Fail,Pass Next OOS%,Fail Next OOS%,Baseline%,Lift (pp)
BTC,MC-ROI p50,50,314645,525503,30.6,32.7,31.9,-1.3
BTC,MC-ROI p75,75,144196,695952,30.4,32.2,31.9,-1.5
BTC,MC-ROI p90,90,55243,784905,30.4,32.0,31.9,-1.5
BTC,MC-Sharpe p50,50,307810,532338,30.6,32.6,31.9,-1.2
BTC,MC-Sharpe p75,75,139696,700452,30.3,32.2,31.9,-1.6
BTC,MC-PF p50,50,269515,570633,29.9,32.8,31.9,-1.9
BTC,MC-PF p75,75,114323,725825,29.4,32.3,31.9,-2.5
DOGE,MC-ROI p50,50,240895,399948,35.8,37.4,36.8,-1.0
DOGE,MC-ROI p75,75,110096,530747,35.5,37.0,36.8,-1.2
DOGE,MC-ROI p90,90,42294,598549,35.7,36.8,36.8,-1.1
DOGE,MC-Sharpe p50,50,235434,405409,35.7,37.4,36.8,-1.0
DOGE,MC-Sharpe p75,75,106813,534030,35.4,37.0,36.8,-1.3
DOGE,MC-PF p50,50,207474,433369,35.5,37.4,36.8,-1.2
DOGE,MC-PF p75,75,88009,552834,35.1,37.0,36.8,-1.7
BNB,MC-ROI p50,50,357072,605554,27.8,29.9,29.1,-1.3
BNB,MC-ROI p75,75,162136,800490,27.6,29.4,29.1,-1.6
BNB,MC-ROI p90,90,61260,901366,27.1,29.3,29.1,-2.0
BNB,MC-Sharpe p50,50,347583,615043,27.7,29.9,29.1,-1.4
BNB,MC-Sharpe p75,75,156507,806119,27.4,29.5,29.1,-1.7
BNB,MC-PF p50,50,306263,656363,27.1,30.1,29.1,-2.0
BNB,MC-PF p75,75,130330,832296,26.6,29.5,29.1,-2.5
SOL,MC-ROI p50,50,72868,126371,38.7,40.4,39.8,-1.1
SOL,MC-ROI p75,75,33865,165374,38.6,40.1,39.8,-1.2
SOL,MC-ROI p90,90,12972,186267,38.1,39.9,39.8,-1.7
SOL,MC-Sharpe p50,50,71956,127283,38.8,40.4,39.8,-1.0
SOL,MC-Sharpe p75,75,32924,166315,38.6,40.1,39.8,-1.3
SOL,MC-PF p50,50,62915,136324,38.7,40.3,39.8,-1.1
SOL,MC-PF p75,75,26773,172466,38.1,40.1,39.8,-1.7
