Asset,Filter,Threshold,N Pass,N Fail,Pass Next OOS%,Fail Next OOS%,Baseline%,Lift (pp)
BTC,MC-MDD p50,50,380520,349518,31.71,31.6,31.66,0.05
BTC,MC-MDD p75,75,195046,534992,31.72,31.63,31.66,0.07
BTC,MC-MDD p90,90,79556,650482,31.52,31.67,31.66,-0.13
BTC,MC-Calmar p50,50,371905,358133,31.64,31.67,31.66,-0.01
BTC,MC-Calmar p75,75,188566,541472,31.76,31.62,31.66,0.11
BTC,MC-Calmar p90,90,76482,653556,31.67,31.66,31.66,0.01
BTC,MC-Ulcer p50,50,375557,354481,32.08,31.21,31.66,0.42
BTC,MC-Ulcer p75,75,191278,538760,32.17,31.48,31.66,0.51
BTC,MC-ROI* p50,50,262879,467159,30.57,32.27,31.66,-1.08
BTC,MC-ROI* p75,75,116962,613076,30.57,31.87,31.66,-1.09
DOGE,MC-MDD p50,50,303549,302602,36.72,36.48,36.6,0.12
DOGE,MC-MDD p75,75,152135,454016,36.78,36.54,36.6,0.18
DOGE,MC-MDD p90,90,60189,545962,36.79,36.58,36.6,0.19
DOGE,MC-Calmar p50,50,304819,301332,36.53,36.67,36.6,-0.07
DOGE,MC-Calmar p75,75,153671,452480,36.42,36.66,36.6,-0.18
DOGE,MC-Calmar p90,90,62041,544110,36.22,36.64,36.6,-0.38
DOGE,MC-Ulcer p50,50,301511,304640,36.8,36.4,36.6,0.2
DOGE,MC-Ulcer p75,75,150794,455357,36.71,36.57,36.6,0.11
DOGE,MC-ROI* p50,50,218630,387521,35.97,36.96,36.6,-0.63
DOGE,MC-ROI* p75,75,97357,508794,35.67,36.78,36.6,-0.93
BNB,MC-MDD p50,50,459815,443999,28.5,28.37,28.44,0.07
BNB,MC-MDD p75,75,231024,672790,28.46,28.43,28.44,0.03
BNB,MC-MDD p90,90,92452,811362,28.54,28.42,28.44,0.1
BNB,MC-Calmar p50,50,451075,452739,28.47,28.4,28.44,0.03
BNB,MC-Calmar p75,75,226116,677698,28.48,28.42,28.44,0.04
BNB,MC-Calmar p90,90,91117,812697,28.41,28.44,28.44,-0.03
BNB,MC-Ulcer p50,50,454562,449252,28.58,28.3,28.44,0.14
BNB,MC-Ulcer p75,75,227649,676165,28.71,28.34,28.44,0.27
BNB,MC-ROI* p50,50,324185,579629,27.5,28.96,28.44,-0.94
BNB,MC-ROI* p75,75,144191,759623,27.28,28.66,28.44,-1.15
SOL,MC-MDD p50,50,93163,91768,39.94,39.75,39.85,0.09
SOL,MC-MDD p75,75,47238,137693,39.81,39.86,39.85,-0.04
SOL,MC-MDD p90,90,19097,165834,39.8,39.85,39.85,-0.05
SOL,MC-Calmar p50,50,94248,90683,40.01,39.68,39.85,0.17
SOL,MC-Calmar p75,75,48112,136819,40.0,39.79,39.85,0.15
SOL,MC-Calmar p90,90,19683,165248,40.16,39.81,39.85,0.31
SOL,MC-Ulcer p50,50,94863,90068,39.79,39.91,39.85,-0.06
SOL,MC-Ulcer p75,75,48497,136434,39.9,39.83,39.85,0.05
SOL,MC-ROI* p50,50,66734,118197,39.07,40.29,39.85,-0.78
SOL,MC-ROI* p75,75,29763,155168,38.5,40.11,39.85,-1.35
EUR/USD,MC-MDD p50,50,360558,403674,11.8,12.74,12.3,-0.5
EUR/USD,MC-MDD p75,75,178443,585789,11.6,12.51,12.3,-0.7
EUR/USD,MC-MDD p90,90,72119,692113,11.5,12.38,12.3,-0.79
