Asset,Filter,N_Portfolios,Mean_ROI_Rank,Std_ROI_Rank,Mean_Sharpe_Rank,Std_Sharpe_Rank,Mean_PF_Rank,Pct_ROI_Above50,Pct_Sharpe_Above50
SOL 1H,Baseline (IS PF>1),136136,29.4,24.9,28.4,26.5,0.00,21.6,22.1
SOL 1H,Rob: ENT,136136,31.5,26.6,30.5,27.4,0.00,24.9,24.6
SOL 1H,Rob: FEE,136136,29.4,24.9,28.4,26.5,0.00,21.6,22.1
SOL 1H,Rob: SLI,136136,28.3,24.2,27.8,26.1,0.00,19.7,21.2
SOL 1H,Rob: ENT+IND,136136,29.1,25.2,28.1,26.2,0.00,21.4,21.5
SOL 1H,Rob: All-4,136136,25.1,25.6,25.3,26.0,0.00,18.4,18.9
BTC 30m,Baseline (IS PF>1),272272,32.5,27.9,30.7,28.1,0.00,27.2,25.5
BTC 30m,Rob: ENT,233376,33.7,28.5,31.5,28.3,0.00,29.0,26.4
BTC 30m,Rob: FEE,272272,32.5,27.9,30.7,28.1,0.00,27.2,25.5
BTC 30m,Rob: SLI,272272,32.5,27.9,30.7,28.1,0.00,27.2,25.5
BTC 30m,Rob: ENT+IND,252824,31.1,27.9,29.7,27.6,0.00,25.5,24.2
BTC 30m,Rob: All-4,252824,31.1,27.9,29.6,27.6,0.00,25.6,24.1
DOGE 30m,Baseline (IS PF>1),408408,37.6,29.2,33.7,29.2,0.00,33.9,29.5
DOGE 30m,Rob: ENT,408408,38.6,28.7,34.4,28.9,0.00,34.7,30.0
DOGE 30m,Rob: FEE,408408,37.5,29.2,33.6,29.2,0.00,33.9,29.4
DOGE 30m,Rob: SLI,408408,38.1,29.2,34.1,29.3,0.00,34.8,30.0
DOGE 30m,Rob: ENT+IND,408408,33.3,28.4,30.8,28.4,0.00,27.9,25.6
DOGE 30m,Rob: All-4,408408,33.7,28.5,31.2,28.5,0.00,28.3,26.1
BNB 15m,Baseline (IS PF>1),583379,33.9,28.5,31.1,28.5,0.00,29.5,26.3
BNB 15m,Rob: ENT,583379,33.6,28.4,30.9,28.4,0.00,29.1,26.1
BNB 15m,Rob: FEE,583379,33.9,28.5,31.1,28.5,0.00,29.5,26.3
BNB 15m,Rob: SLI,583379,33.9,28.5,31.1,28.5,0.00,29.5,26.3
BNB 15m,Rob: ENT+IND,563931,36.9,28.6,33.5,29.0,0.00,33.0,29.3
BNB 15m,Rob: All-4,563931,37.1,28.6,33.6,29.0,0.00,33.2,29.4
