Scenario,Filter,OOS Prof%,Lift (pp),Pool,% Edge
A_high_prev,No filter,41.8370658876988,0.0,9243,—
A_high_prev,IS PF>1,43.405600722673896,1.5685348349750967,4428,36.2
A_high_prev,MC-MDD p50,42.37376366475794,0.536697777059139,3842,40.2
A_high_prev,MC-MDD p50 + IS PF>1,43.31140350877193,1.4743376210731327,1824,37.8
A_high_prev,MC-MDD p75,42.46495327102804,0.627887383329238,1712,40.4
A_high_prev,MC-MDD p75 + IS PF>1,40.866510538641684,-0.9705553490571148,854,37.5
A_high_prev,MC-MDD p90,44.14261460101868,2.3055487133198795,589,41.4
A_high_prev,MC-MDD p90 + IS PF>1,36.507936507936506,-5.329129379762293,315,34.9
A_high_prev,MC-Calmar p50,41.53368794326241,-0.30337794443639154,4512,42.9
A_high_prev,MC-Calmar p50 + IS PF>1,43.78468368479467,1.947617797095873,1802,37.7
A_high_prev,MC-Calmar p75,40.17819261773441,-1.6588732699643884,2357,44.0
A_high_prev,MC-Calmar p75 + IS PF>1,41.25295508274232,-0.5841108049564809,846,37.8
A_high_prev,MC-Calmar p90,39.24449108079748,-2.592574806901318,953,42.9
A_high_prev,MC-Calmar p90 + IS PF>1,37.10691823899371,-4.730147648705092,318,35.2
A_high_prev,MC-ROI* p50 (artefactual),42.03629032258064,0.19922443488184172,992,—
A_high_prev,MC-ROI* p75 (artefactual),40.93023255813954,-0.9068333295592623,430,—
