Scenario,Filter,OOS Prof%,Lift (pp),Pool,% Edge
CMP_high_prev_large_pool,No filter,45.03843819542788,0.0,19772,—
CMP_high_prev_large_pool,IS PF>1,42.468121893235356,-2.5703163021925235,9254,38.1
CMP_high_prev_large_pool,MC-MDD p50,44.1632170313424,-0.875221164085481,8455,38.6
CMP_high_prev_large_pool,MC-MDD p50 + IS PF>1,42.84576586142819,-2.1926723339996883,3767,37.9
CMP_high_prev_large_pool,MC-MDD p75,44.21573736321,-0.8227008322178762,3838,39.5
CMP_high_prev_large_pool,MC-MDD p75 + IS PF>1,41.881298992161256,-3.157139203266624,1786,37.1
CMP_high_prev_large_pool,MC-MDD p90,45.851216022889844,0.8127778274619644,1398,41.3
CMP_high_prev_large_pool,MC-MDD p90 + IS PF>1,40.11887072808321,-4.91956746734467,673,34.9
CMP_high_prev_large_pool,MC-Calmar p50,46.87400149110662,1.8355632956787389,9389,40.5
CMP_high_prev_large_pool,MC-Calmar p50 + IS PF>1,43.193367210484084,-1.8450709849437956,3739,38.1
CMP_high_prev_large_pool,MC-Calmar p75,48.284625158831,3.246186963403119,4722,40.3
CMP_high_prev_large_pool,MC-Calmar p75 + IS PF>1,42.30769230769231,-2.730745887735573,1768,37.5
CMP_high_prev_large_pool,MC-Calmar p90,49.94629430719657,4.907856111768687,1862,40.8
CMP_high_prev_large_pool,MC-Calmar p90 + IS PF>1,40.177252584933534,-4.861185610494346,677,34.9
CMP_high_prev_large_pool,MC-ROI* p50 (artefactual),43.21629822280018,-1.8221399726277028,2307,—
CMP_high_prev_large_pool,MC-ROI* p75 (artefactual),44.19942473633749,-0.8390134590903884,1043,—
