phi,drift,sim,baseline_oos,is_pf_oos,mc_p50_oos,mc_p50_lift,port_nofilter
0.0,0.0,0,48.2166032669501,46.77,43.95,-4.27,58.95
0.0,0.0,1,60.306556276571946,63.68,57.38,-2.93,50.74999999999999
0.0,0.0,2,16.968001790109643,26.05,10.22,-6.75,15.65
0.02,2e-05,0,44.58939360035802,49.58,41.41,-3.18,35.7
0.02,2e-05,1,36.53390020138734,51.61,25.46,-11.07,59.9
0.02,2e-05,2,41.559633027522935,42.15,36.02,-5.54,34.65
0.04,4e-05,0,57.75788767061982,58.41,51.31,-6.45,51.8
0.04,4e-05,1,41.248601476840456,46.93,38.13,-3.12,25.75
0.04,4e-05,2,43.60483329603938,43.05,32.24,-11.36,0.05
0.06,6e-05,0,45.4822107854106,57.42,39.81,-5.67,65.2
0.06,6e-05,1,49.46520474379056,53.66,47.5,-1.97,49.4
0.06,6e-05,2,26.2788095770866,23.93,17.37,-8.9,42.4
0.08,8e-05,0,45.64332065339002,52.9,35.84,-9.8,22.05
0.08,8e-05,1,35.970015663459385,37.07,34.24,-1.73,49.75
0.08,8e-05,2,48.93712239874692,50.94,41.37,-7.56,58.35
0.1,0.0001,0,41.172521816961286,33.16,32.32,-8.85,19.75
0.1,0.0001,1,53.0073842022824,59.75,46.41,-6.59,32.300000000000004
0.1,0.0001,2,34.942940255090626,47.72,32.84,-2.1,32.95
0.15,0.00015,0,23.830834638621614,44.94,12.64,-11.19,68.8
0.15,0.00015,1,42.42112329380174,70.15,25.24,-17.18,60.0
0.15,0.00015,2,56.68829715820094,60.46,44.33,-12.36,10.0
0.0,0.0,3,45.124188856567464,51.98,35.52,-9.6,51.55
0.0,0.0,4,38.746923249049004,28.22,33.3,-5.44,28.799999999999997
0.0,0.0,5,46.56522712016111,53.98,44.18,-2.39,30.2
0.0,0.0,6,48.337435667934656,52.25,38.74,-9.6,31.25
0.0,0.0,7,53.0655627657194,44.2,49.41,-3.65,37.6
0.02,2e-05,3,49.41597672857462,63.4,43.03,-6.39,38.85
0.02,2e-05,4,35.849183262474824,33.27,30.23,-5.62,48.55
0.02,2e-05,5,34.96307898858805,24.11,29.49,-5.47,30.049999999999997
0.02,2e-05,6,31.463414634146343,27.64,26.75,-4.71,19.35
0.02,2e-05,7,32.21526068471694,31.94,29.18,-3.04,36.1
0.04,4e-05,3,40.18572387558738,40.33,33.51,-6.68,37.6
0.04,4e-05,4,45.6298948310584,54.54,41.85,-3.78,48.949999999999996
0.04,4e-05,5,42.26896397404341,53.43,33.37,-8.9,37.15
0.04,4e-05,6,30.888341910942046,27.69,25.01,-5.88,30.5
0.04,4e-05,7,65.47102260013425,58.55,62.23,-3.24,35.65
0.06,6e-05,3,49.78518684269411,42.69,44.68,-5.11,41.8
0.06,6e-05,4,35.2472588946073,37.9,34.7,-0.55,14.95
0.06,6e-05,5,40.41396285522488,40.89,37.11,-3.3,43.2
0.06,6e-05,6,38.310584023271424,38.27,35.23,-3.09,51.2
0.06,6e-05,7,46.97023942716491,34.12,42.38,-4.59,40.0
0.08,8e-05,3,37.73103602595659,41.79,40.41,2.68,47.9
0.08,8e-05,4,40.078317296934436,44.97,36.9,-3.18,21.4
0.08,8e-05,5,55.02349518908033,69.96,48.91,-6.11,60.199999999999996
0.08,8e-05,6,44.10382635936451,37.68,37.92,-6.19,39.95
0.08,8e-05,7,45.066010293130454,44.87,38.32,-6.74,23.0
0.1,0.0001,3,40.92638174088163,32.01,36.25,-4.68,15.85
0.1,0.0001,4,50.091743119266056,56.54,48.22,-1.87,35.449999999999996
0.1,0.0001,5,50.12307003803983,54.14,40.21,-9.91,38.6
0.1,0.0001,6,56.249720295368085,49.32,53.59,-2.66,49.2
0.1,0.0001,7,42.20407249944059,54.81,39.42,-2.79,50.349999999999994
0.15,0.00015,3,59.45849183262475,66.62,55.94,-3.52,55.800000000000004
0.15,0.00015,4,32.4390243902439,52.83,20.5,-11.94,47.949999999999996
0.15,0.00015,5,59.35779816513761,63.09,59.08,-0.28,35.15
0.15,0.00015,6,58.885656746475725,68.12,50.08,-8.81,59.099999999999994
0.15,0.00015,7,48.17856343701052,48.1,48.11,-0.07,38.35
