sim_id,tier,n_strat_windows,baseline_oos,mc_roi_lift_p50,mc_roi_lift_p75,rob_all_lift,is_pf_lift,port_nofilter_oos,port_rob_oos,corr_mc_roi_oos,corr_mc_sharpe_oos
0,sweep_phi_0.00,0,38.22777572231005,-6.65,12.1,12.44,12.42,100.0,0.0,0.0,0.0
1,sweep_phi_0.00,0,37.24092697857455,3.21,10.24,-2.34,-2.31,0.0,0.0,0.0,0.0
2,sweep_phi_0.00,0,59.65860549594699,-4.08,8.82,11.96,11.94,2.0,0.0,0.0,0.0
3,sweep_phi_0.00,0,27.40708351552252,-8.0,15.65,7.07,7.06,0.0,0.0,0.0,0.0
4,sweep_phi_0.00,0,25.24402139181326,-5.28,29.62,11.7,11.72,0.0,0.0,0.0,0.0
0,sweep_phi_0.02,0,37.81305707847029,-3.16,1.19,9.44,9.46,0.0,0.0,0.0,0.0
1,sweep_phi_0.02,0,29.28862130436245,-8.65,6.78,9.33,9.31,2.5,0.0,0.0,0.0
2,sweep_phi_0.02,0,49.492112609733944,-4.19,1.83,5.01,4.98,100.0,0.0,0.0,0.0
3,sweep_phi_0.02,0,31.94813494332515,-3.61,15.3,1.75,1.79,0.0,0.0,0.0,0.0
4,sweep_phi_0.02,0,45.07887390266052,-4.92,-2.23,6.36,6.38,72.0,0.0,0.0,0.0
0,sweep_phi_0.04,0,42.9181662238068,-5.51,0.27,-2.1,-2.1,0.0,0.0,0.0,0.0
1,sweep_phi_0.04,0,41.18798560425145,-2.4,3.19,2.63,2.64,100.0,0.0,0.0,0.0
2,sweep_phi_0.04,0,48.76727994349332,-4.23,8.9,8.82,8.81,61.5,0.0,0.0,0.0
3,sweep_phi_0.04,0,58.331371295953716,-5.65,6.03,4.06,4.03,100.0,0.0,0.0,0.0
4,sweep_phi_0.04,0,52.23436816790555,-8.28,3.31,11.19,11.09,0.0,0.0,0.0,0.0
0,sweep_phi_0.06,0,43.17850055497629,-8.88,11.47,11.13,11.15,100.0,0.0,0.0,0.0
1,sweep_phi_0.06,0,42.388416131310755,-8.27,-7.66,4.04,4.04,0.0,0.0,0.0,0.0
2,sweep_phi_0.06,0,49.65490565403115,-1.88,1.55,11.32,11.29,100.0,0.0,0.0,0.0
3,sweep_phi_0.06,0,43.769129864451244,0.19,5.41,8.76,8.74,100.0,0.0,0.0,0.0
4,sweep_phi_0.06,0,21.66560156066059,-4.25,7.27,2.89,2.92,100.0,0.0,0.0,0.0
0,sweep_phi_0.08,0,46.3929904813158,-1.79,2.02,5.77,5.76,4.5,0.0,0.0,0.0
1,sweep_phi_0.08,0,24.535333490296324,-2.77,11.95,10.94,10.93,0.0,0.0,0.0,0.0
2,sweep_phi_0.08,0,42.93464733779557,-7.24,-6.8,-8.53,-8.51,100.0,0.0,0.0,0.0
3,sweep_phi_0.08,0,39.87824156604218,-8.55,-0.77,6.07,6.05,3.0,0.0,0.0,0.0
4,sweep_phi_0.08,0,34.745888130234434,-7.28,-5.92,1.28,1.3,100.0,0.0,0.0,0.0
0,sweep_phi_0.10,0,39.422151962597965,1.23,9.31,-1.94,-1.92,0.0,0.0,0.0,0.0
1,sweep_phi_0.10,0,60.45104436446807,-5.11,6.3,12.39,12.38,0.0,0.0,0.0,0.0
2,sweep_phi_0.10,0,27.203928559416095,-7.57,19.52,8.34,8.34,0.0,0.0,0.0,0.0
3,sweep_phi_0.10,0,23.94436783155629,-5.85,20.83,13.91,13.95,100.0,0.0,0.0,0.0
4,sweep_phi_0.10,0,37.171639029968716,-15.02,18.8,16.42,16.41,100.0,0.0,0.0,0.0
0,sweep_phi_0.15,0,50.12007668763244,-10.62,-0.12,-2.4,-2.38,0.0,0.0,0.0,0.0
1,sweep_phi_0.15,0,51.68040092832397,-6.11,0.26,1.69,1.69,100.0,0.0,0.0,0.0
2,sweep_phi_0.15,0,19.36900877871582,-8.92,17.44,27.52,27.49,0.0,0.0,0.0,0.0
3,sweep_phi_0.15,0,42.619488076418556,-2.2,2.52,-0.63,-0.61,98.0,0.0,0.0,0.0
4,sweep_phi_0.15,0,48.93074568632068,3.27,17.83,11.87,11.85,100.0,0.0,0.0,0.0
