sim_id,tier,n_strat_windows,baseline_oos,mc_roi_lift_p50,mc_roi_lift_p75,is_pf_lift,port_nofilter_oos,corr_mc_roi_oos,corr_mc_sharpe_oos
0,,44690,48.2166032669501,-4.27,4.22,-1.45,59.31999999999999,0.0193118153294711,0.0316525931821051
1,,44690,60.306556276571946,-2.93,9.16,3.38,50.98,0.1080766087714276,0.0905783635825832
2,,44690,16.968001790109643,-6.75,5.67,9.08,16.14,0.0080697788435916,0.0001229507140047
3,,44690,35.29424927276796,-11.92,10.39,2.36,39.24,-0.0517000526201756,-0.0414308238886958
4,,44690,25.370328932647123,-11.98,13.46,31.13,37.38,-0.0038349637869188,-0.0012794244043022
5,,44690,39.169836652494965,-7.51,5.43,3.69,52.24,0.0290843013843717,0.0235576401344952
6,,44690,17.71984784068024,-0.97,2.36,1.67,28.02,0.0083095368534731,0.0154191217133771
7,,44690,32.75900648914746,-1.93,4.69,1.84,22.3,0.0583830916709922,0.0434820829782584
0,edge,44690,48.18080107406579,-4.21,4.84,-0.81,40.86,0.0213512151848354,0.0332276748051338
1,edge,44690,61.54844484224659,-2.54,9.82,3.24,61.62,0.1169205850198475,0.0907211052932795
2,edge,44690,18.115909599462967,-7.39,7.12,8.93,22.36,0.0110349536173469,0.002268307702808
3,edge,44690,37.08883419109421,-13.56,9.34,2.19,30.0,-0.0430505044214356,-0.0303394834600191
4,edge,44690,27.001566345938688,-11.77,14.78,30.35,39.98,-0.0099024423424553,-0.011929515300345
5,edge,44690,39.97314835533676,-7.88,5.7,4.46,48.34,0.0393510857538467,0.0324930282315151
6,edge,44690,18.603714477511748,-1.35,2.19,1.77,30.84,-0.0028637151620259,0.0001084530232606
7,edge,44690,33.602595658984114,-1.85,5.91,0.79,22.48,0.0385190678351277,0.0321091329837403
0,adversarial,296470,48.84676358484838,-4.19,4.55,-0.68,48.22,0.0157152031014613,0.0258239955139082
1,adversarial,296470,61.54518163726516,-2.4,10.87,4.55,18.14,0.1306863263297243,0.1046216076603083
2,adversarial,296470,16.70320774445981,-7.73,4.91,10.72,10.5,-0.0136347924281759,-0.0136531237300377
3,adversarial,296470,35.98340472897764,-11.31,10.47,-2.08,29.96,-0.034899632679755,-0.0237940458456645
4,adversarial,296470,45.57830471885857,-2.13,5.85,-0.07,41.86,0.0635747429986303,0.04540095056696148
5,adversarial,296470,37.43582824569096,-2.81,11.25,-8.31,20.0,0.0616783477320855,0.05643845481186776
6,adversarial,296470,17.879043410800417,-8.23,13.76,12.83,59.98,0.08281683260682385,0.06397986282167961
7,adversarial,296470,40.741053057644955,-4.8,1.3,-6.41,39.519999999999996,-0.022942673496829432,-0.018463549515182573
8,adversarial,296470,28.092555739197895,-6.26,13.26,15.21,20.0,0.1187899300712308,0.0969100766212423
9,adversarial,296470,37.92626572671771,-4.99,-0.55,5.12,47.760000000000005,-0.0273456908920233,-0.030648634156363354
10,adversarial,296470,36.056262016392886,-4.23,10.95,-3.67,29.439999999999998,0.05932186576101458,0.056812846333243114
11,adversarial,296470,40.69383074172766,-5.34,1.92,-13.38,35.160000000000004,-0.011609743916246014,-0.011575200847527506
