sim_id,tier,n_strat_windows,baseline_oos,mc_roi_lift_p50,mc_roi_lift_p75,rob_all_lift,is_pf_lift,port_nofilter_oos,port_rob_oos,corr_mc_roi_oos,corr_mc_sharpe_oos
0,null,297310,48.33708923346002,-3.8,4.46,12.51,12.48,0.0,0.0,0.037057353980421995,0.025705414393473697
1,null,297310,55.49729238841613,-6.07,-1.8,8.0,8.03,0.0,0.0,0.01919750700342868,0.026550689960871832
2,null,297310,35.597188120143954,-6.78,12.06,5.12,5.17,100.0,100.0,0.07044934112592564,0.07789051791782987
3,null,297310,32.94978305472402,-8.38,4.38,10.99,10.99,17.8,15.2,0.01686092847673296,0.008106646542319516
4,null,297310,30.880898725236282,-11.83,18.22,15.83,15.85,100.0,100.0,0.050135819868154026,0.049692291765599146
5,null,297310,59.12481921227002,-1.65,8.57,19.39,19.35,26.8,24.4,0.10351587225776167,0.10161285857132908
6,null,297310,38.51871783660153,-2.3,5.07,-0.83,-0.81,0.0,0.0,0.04082188123761171,0.03541793482850055
7,null,297310,24.317042817261445,-10.89,26.37,22.92,22.91,0.0,0.0,0.05712527319864628,0.06799757412920415
0,edge,297310,48.72389088829841,-5.45,4.31,11.62,11.62,0.0,0.0,0.0355663066939633,0.030135904785786462
1,edge,297310,56.073795028757864,-5.22,0.47,7.62,7.65,0.0,0.0,0.032305062563284415,0.03800937841241038
2,edge,297310,36.9785745518146,-7.45,12.39,6.52,6.55,57.199999999999996,60.199999999999996,0.0462550881151872,0.05386258584477662
3,edge,297310,34.48151760788403,-8.33,5.56,10.97,10.98,100.0,100.0,0.020932414211638772,0.012392813047138887
4,edge,297310,31.673001244492283,-11.77,20.51,15.63,15.65,87.4,89.2,0.05645770551412623,0.05818510285075576
5,edge,297310,59.69694931216575,-1.98,7.4,19.29,19.25,100.0,100.0,0.09798607890127287,0.09631365194015212
6,edge,297310,39.26844034845784,-3.6,1.61,-1.32,-1.29,0.0,0.0,0.01268447451409711,0.009243362093664484
7,edge,297310,24.04998150079042,-10.94,20.96,19.55,19.56,0.0,0.0,0.019286576715906917,0.03417541883057142
0,adversarial,297310,48.33708923346002,-3.8,4.46,12.51,12.48,0.0,0.0,0.037057353980421995,0.025705414393473697
1,adversarial,297310,55.49729238841613,-6.07,-1.8,8.0,8.03,0.0,0.0,0.01919750700342868,0.026550689960871832
2,adversarial,297310,35.597188120143954,-6.78,12.06,5.12,5.17,100.0,100.0,0.07044934112592564,0.07789051791782987
3,adversarial,297310,32.94978305472402,-8.38,4.38,10.99,10.99,17.8,15.2,0.01686092847673296,0.008106646542319516
