Asset,Metric,N portfolios,N windows,Mean rank,Median rank,Std,% < 50,% > 90 (top decile)
BTC,Portfolio MC-MDD,27000,27,65.33,71.0,27.07,28.71,22.88
BTC,Portfolio MC-Calmar,27000,27,65.33,71.0,27.07,28.71,22.88
BTC,Portfolio MC-ROI*,27000,27,46.95,46.0,28.6,54.0,7.75
DOGE,Portfolio MC-MDD,21000,21,61.29,65.5,27.85,33.91,18.31
DOGE,Portfolio MC-Calmar,21000,21,61.29,65.5,27.85,33.91,18.31
DOGE,Portfolio MC-ROI*,21000,21,47.63,46.5,28.58,53.33,8.26
BNB,Portfolio MC-MDD,30000,30,66.96,72.5,26.24,26.13,24.11
BNB,Portfolio MC-Calmar,30000,30,66.96,72.5,26.24,26.13,24.11
BNB,Portfolio MC-ROI*,30000,30,46.35,45.0,28.56,55.17,7.61
SOL,Portfolio MC-MDD,7000,7,56.37,59.5,28.81,40.94,14.51
SOL,Portfolio MC-Calmar,7000,7,56.37,59.5,28.81,40.94,14.51
SOL,Portfolio MC-ROI*,7000,7,47.07,46.0,29.02,54.03,8.57
EURUSD,Portfolio MC-MDD,15000,15,68.74,75.0,25.8,23.73,26.21
EURUSD,Portfolio MC-Calmar,15000,15,68.74,75.0,25.8,23.73,26.21
EURUSD,Portfolio MC-ROI*,15000,15,3.29,0.0,12.64,97.59,0.35
USDJPY,Portfolio MC-MDD,15000,15,67.39,73.0,26.09,25.66,24.58
USDJPY,Portfolio MC-Calmar,15000,15,67.39,73.0,26.09,25.65,24.59
USDJPY,Portfolio MC-ROI*,15000,15,2.55,0.0,11.19,98.24,0.29
EURGBP,Portfolio MC-MDD,15000,15,64.5,70.5,27.3,30.19,21.57
EURGBP,Portfolio MC-Calmar,15000,15,64.5,70.5,27.3,30.19,21.57
EURGBP,Portfolio MC-ROI*,15000,15,5.66,0.0,17.01,95.51,0.89
XAUUSD,Portfolio MC-MDD,15000,15,64.87,70.0,26.89,29.05,21.92
XAUUSD,Portfolio MC-Calmar,15000,15,64.87,70.0,26.89,29.05,21.92
XAUUSD,Portfolio MC-ROI*,15000,15,45.65,43.0,31.03,55.99,10.9
WTI,Portfolio MC-MDD,15000,15,59.54,63.5,28.14,36.13,16.71
WTI,Portfolio MC-Calmar,15000,15,59.54,63.5,28.14,36.13,16.71
WTI,Portfolio MC-ROI*,15000,15,46.24,43.5,33.7,55.15,14.95
