Asset,MC-MDD decile,N portfolios,Same-win OOS profitable %,Same-win lift vs asset baseline (pp),Next-win OOS profitable %,Next-win lift vs asset baseline (pp),Mean OOS same PF,Mean OOS next PF
BNB,D1 (0-10),797,10.92,0.74,7.41,-1.6,0.818,0.807
BNB,D2 (10-20),1196,11.79,1.61,8.59,-0.42,0.823,0.817
BNB,D3 (20-30),1665,10.45,0.27,8.64,-0.37,0.82,0.81
BNB,D4 (30-40),1981,10.65,0.47,8.93,-0.08,0.819,0.815
BNB,D5 (40-50),2327,9.5,-0.68,10.54,1.53,0.814,0.821
BNB,D6 (50-60),2793,10.88,0.7,9.43,0.42,0.816,0.813
BNB,D7 (60-70),3362,10.11,-0.07,9.35,0.34,0.818,0.816
BNB,D8 (70-80),3872,11.11,0.93,9.49,0.48,0.818,0.815
BNB,D9 (80-90),4774,9.8,-0.38,9.54,0.53,0.815,0.818
BNB,D10 (90-100),7233,9.37,-0.81,9.23,0.22,0.813,0.814
BTC,D1 (0-10),864,12.5,-0.53,14.83,3.12,0.847,0.864
BTC,D2 (10-20),1354,12.63,-0.4,14.12,2.41,0.852,0.855
BTC,D3 (20-30),1614,12.7,-0.33,11.72,0.0,0.847,0.852
BTC,D4 (30-40),1820,13.85,0.81,11.76,0.05,0.859,0.847
BTC,D5 (40-50),2190,14.47,1.44,10.84,-0.88,0.853,0.844
BTC,D6 (50-60),2524,13.27,0.24,12.58,0.87,0.854,0.846
BTC,D7 (60-70),2946,12.42,-0.61,12.09,0.37,0.85,0.847
BTC,D8 (70-80),3339,12.85,-0.19,13.19,1.47,0.849,0.849
BTC,D9 (80-90),4171,13.83,0.8,12.34,0.62,0.852,0.85
BTC,D10 (90-100),6178,12.29,-0.75,11.26,-0.45,0.849,0.844
DOGE,D1 (0-10),977,23.54,2.33,24.04,3.3,0.908,0.907
DOGE,D2 (10-20),1294,24.27,3.06,22.27,1.53,0.906,0.906
DOGE,D3 (20-30),1428,23.53,2.32,22.76,2.01,0.905,0.902
DOGE,D4 (30-40),1661,21.13,-0.08,22.29,1.55,0.899,0.903
DOGE,D5 (40-50),1848,20.62,-0.59,22.73,1.98,0.898,0.906
DOGE,D6 (50-60),2054,20.16,-1.05,21.67,0.93,0.896,0.901
DOGE,D7 (60-70),2314,20.22,-0.98,20.87,0.13,0.896,0.901
DOGE,D8 (70-80),2595,20.81,-0.4,23.24,2.5,0.895,0.903
DOGE,D9 (80-90),2983,22.02,0.82,20.94,0.2,0.899,0.901
DOGE,D10 (90-100),3846,19.84,-1.37,20.3,-0.44,0.893,0.898
EURGBP,D1 (0-10),533,20.08,2.5,16.8,2.83,0.797,0.783
EURGBP,D2 (10-20),776,20.75,3.17,18.98,5.01,0.796,0.79
EURGBP,D3 (20-30),920,19.13,1.55,16.24,2.26,0.779,0.764
EURGBP,D4 (30-40),1098,19.76,2.18,14.97,0.99,0.786,0.764
EURGBP,D5 (40-50),1250,17.44,-0.14,15.08,1.11,0.766,0.755
EURGBP,D6 (50-60),1305,17.09,-0.49,15.48,1.51,0.764,0.759
EURGBP,D7 (60-70),1607,16.49,-1.09,13.12,-0.85,0.763,0.74
EURGBP,D8 (70-80),1908,17.3,-0.28,14.55,0.58,0.759,0.742
EURGBP,D9 (80-90),2367,17.87,0.29,16.24,2.27,0.768,0.754
EURGBP,D10 (90-100),3236,15.98,-1.6,13.39,-0.59,0.747,0.735
EURUSD,D1 (0-10),350,3.14,1.42,0.92,0.05,0.577,0.563
EURUSD,D2 (10-20),570,2.28,0.56,1.32,0.46,0.577,0.549
EURUSD,D3 (20-30),718,2.09,0.37,1.35,0.48,0.57,0.545
EURUSD,D4 (30-40),896,1.9,0.18,0.6,-0.26,0.561,0.544
EURUSD,D5 (40-50),1112,1.62,-0.1,0.98,0.11,0.561,0.558
EURUSD,D6 (50-60),1282,1.64,-0.08,0.92,0.05,0.558,0.544
EURUSD,D7 (60-70),1646,1.82,0.1,0.84,-0.02,0.556,0.548
