Asset,MC-ROI* decile,N portfolios,Same-win OOS profitable %,Same-win lift vs asset baseline (pp),Next-win OOS profitable %,Next-win lift vs asset baseline (pp),Mean OOS same PF,Mean OOS next PF
BNB,D1 (0-10),3703,10.37,0.19,9.08,0.07,0.816,0.811
BNB,D2 (10-20),3429,10.27,0.09,9.53,0.52,0.817,0.818
BNB,D3 (20-30),3236,9.89,-0.29,8.98,-0.03,0.816,0.812
BNB,D4 (30-40),3242,10.33,0.15,9.37,0.36,0.815,0.818
BNB,D5 (40-50),3078,10.4,0.22,9.7,0.69,0.818,0.817
BNB,D6 (50-60),2988,10.31,0.13,9.71,0.7,0.818,0.818
BNB,D7 (60-70),2823,10.1,-0.08,10.03,1.02,0.815,0.815
BNB,D8 (70-80),2668,10.08,-0.1,8.58,-0.43,0.816,0.81
BNB,D9 (80-90),2550,10.0,-0.18,9.27,0.26,0.816,0.819
BNB,D10 (90-100),2283,9.9,-0.28,8.83,-0.18,0.818,0.818
BTC,D1 (0-10),3229,12.88,-0.15,12.13,0.42,0.851,0.847
BTC,D2 (10-20),3007,12.01,-1.03,12.92,1.21,0.847,0.852
BTC,D3 (20-30),2896,13.71,0.68,12.31,0.6,0.852,0.85
BTC,D4 (30-40),2860,12.52,-0.52,11.51,-0.2,0.85,0.846
BTC,D5 (40-50),2730,12.67,-0.36,12.61,0.89,0.851,0.85
BTC,D6 (50-60),2646,13.3,0.27,11.52,-0.19,0.852,0.847
BTC,D7 (60-70),2675,12.9,-0.14,12.15,0.43,0.851,0.848
BTC,D8 (70-80),2540,14.02,0.98,12.37,0.65,0.854,0.843
BTC,D9 (80-90),2325,13.55,0.52,12.19,0.48,0.851,0.85
BTC,D10 (90-100),2092,13.05,0.02,11.79,0.08,0.852,0.846
DOGE,D1 (0-10),2358,21.63,0.42,22.67,1.93,0.9,0.9
DOGE,D2 (10-20),2287,21.78,0.57,19.56,-1.18,0.899,0.899
DOGE,D3 (20-30),2264,19.7,-1.51,21.69,0.94,0.897,0.901
DOGE,D4 (30-40),2216,21.16,-0.05,22.36,1.62,0.896,0.902
DOGE,D5 (40-50),2182,19.25,-1.96,20.57,-0.17,0.895,0.898
DOGE,D6 (50-60),2127,21.53,0.32,22.1,1.36,0.896,0.903
DOGE,D7 (60-70),2000,21.5,0.29,22.11,1.37,0.899,0.905
DOGE,D8 (70-80),1940,21.55,0.34,22.46,1.71,0.899,0.904
DOGE,D9 (80-90),1891,22.32,1.11,21.77,1.03,0.901,0.904
DOGE,D10 (90-100),1735,22.07,0.87,22.88,2.14,0.896,0.905
EURGBP,D1 (0-10),13189,17.27,-0.31,14.68,0.71,0.762,0.748
EURGBP,D2 (10-20),463,24.19,6.61,17.11,3.14,0.801,0.767
EURGBP,D3 (20-30),305,15.74,-1.84,15.36,1.38,0.77,0.77
EURGBP,D4 (30-40),212,19.34,1.76,14.0,0.03,0.788,0.758
EURGBP,D5 (40-50),162,17.9,0.32,17.61,3.63,0.791,0.774
EURGBP,D6 (50-60),152,23.03,5.45,14.81,0.84,0.809,0.758
EURGBP,D7 (60-70),121,15.7,-1.88,20.87,6.9,0.786,0.799
EURGBP,D8 (70-80),138,18.84,1.26,19.35,5.38,0.819,0.834
EURGBP,D9 (80-90),125,19.2,1.62,20.37,6.4,0.765,0.794
EURGBP,D10 (90-100),133,18.8,1.22,20.34,6.37,0.809,0.814
EURUSD,D1 (0-10),13880,1.75,0.03,0.97,0.11,0.56,0.547
EURUSD,D2 (10-20),323,1.24,-0.48,0.33,-0.54,0.549,0.518
EURUSD,D3 (20-30),190,1.05,-0.67,0.0,-0.87,0.538,0.521
EURUSD,D4 (30-40),139,2.16,0.44,0.0,-0.87,0.544,0.525
EURUSD,D5 (40-50),109,0.92,-0.8,0.0,-0.87,0.551,0.544
EURUSD,D6 (50-60),101,0.99,-0.73,1.05,0.19,0.545,0.522
EURUSD,D7 (60-70),80,2.5,0.78,1.28,0.42,0.552,0.559
EURUSD,D8 (70-80),52,3.85,2.13,2.0,1.13,0.566,0.559
EURUSD,D9 (80-90),74,0.0,-1.72,0.0,-0.87,0.554,0.521
EURUSD,D10 (90-100),52,0.0,-1.72,0.0,-0.87,0.525,0.546
SOL,D1 (0-10),866,23.79,1.67,20.29,1.62,0.928,0.926
SOL,D2 (10-20),777,20.98,-1.14,24.05,5.38,0.927,0.93
SOL,D3 (20-30),756,21.43,-0.69,20.52,1.85,0.928,0.924
SOL,D4 (30-40),695,21.73,-0.39,23.21,4.53,0.928,0.927
SOL,D5 (40-50),727,21.32,-0.79,21.45,2.78,0.929,0.928
SOL,D6 (50-60),679,24.45,2.33,19.86,1.19,0.932,0.923
SOL,D7 (60-70),643,22.08,-0.03,21.55,2.88,0.931,0.926
SOL,D8 (70-80),640,20.0,-2.11,21.55,2.88,0.923,0.925
SOL,D9 (80-90),617,23.01,0.9,23.64,4.97,0.926,0.935
SOL,D10 (90-100),600,22.17,0.05,22.18,3.51,0.928,0.933
USDJPY,D1 (0-10),14123,0.79,0.03,0.74,0.07,0.475,0.467
USDJPY,D2 (10-20),228,0.44,-0.32,0.46,-0.21,0.48,0.464
USDJPY,D3 (20-30),170,0.59,-0.17,0.0,-0.67,0.506,0.489
USDJPY,D4 (30-40),127,0.0,-0.76,0.0,-0.67,0.481,0.432
USDJPY,D5 (40-50),90,0.0,-0.76,0.0,-0.67,0.486,0.463
USDJPY,D6 (50-60),69,0.0,-0.76,1.52,0.84,0.478,0.436
USDJPY,D7 (60-70),51,1.96,1.2,0.0,-0.67,0.521,0.47
USDJPY,D8 (70-80),46,0.0,-0.76,0.0,-0.67,0.52,0.424
USDJPY,D9 (80-90),53,0.0,-0.76,1.89,1.21,0.486,0.483
USDJPY,D10 (90-100),43,0.0,-0.76,0.0,-0.67,0.479,0.451
WTI,D1 (0-10),3109,34.83,0.29,34.47,3.14,0.97,0.958
WTI,D2 (10-20),1465,32.49,-2.05,32.62,1.3,0.954,0.961
