Asset,Rank metric,N top decile,N bottom decile,Top decile next OOS %,Bottom decile next OOS %,Top - Bottom (pp),SE (pp),95% CI
BNB,port_mdd_rank,7279,769,9.26,7.41,1.85,1.0,"[-0.12, 3.81]"
BTC,port_mdd_rank,6169,836,11.35,14.83,-3.49,1.29,"[-6.02, -0.95]"
DOGE,port_mdd_rank,3857,911,20.3,24.04,-3.74,1.56,"[-6.79, -0.69]"
EURGBP,port_mdd_rank,3146,488,13.67,16.8,-3.14,1.8,"[-6.66, 0.39]"
EURUSD,port_mdd_rank,3815,327,0.71,0.92,-0.21,0.54,"[-1.28, 0.86]"
SOL,port_mdd_rank,881,435,22.81,21.15,1.67,2.42,"[-3.07, 6.40]"
USDJPY,port_mdd_rank,3539,368,0.48,1.36,-0.88,0.61,"[-2.08, 0.33]"
WTI,port_mdd_rank,2424,729,33.58,32.1,1.48,1.98,"[-2.39, 5.36]"
XAUUSD,port_mdd_rank,3231,418,67.94,62.68,5.26,2.5,"[0.35, 10.16]"
BNB,port_calmar_rank,7279,769,9.26,7.41,1.85,1.0,"[-0.12, 3.81]"
BTC,port_calmar_rank,6169,836,11.35,14.83,-3.49,1.29,"[-6.02, -0.95]"
DOGE,port_calmar_rank,3857,911,20.3,24.04,-3.74,1.56,"[-6.79, -0.69]"
EURGBP,port_calmar_rank,3146,488,13.67,16.8,-3.14,1.8,"[-6.66, 0.39]"
EURUSD,port_calmar_rank,3815,327,0.71,0.92,-0.21,0.54,"[-1.28, 0.86]"
SOL,port_calmar_rank,881,435,22.81,21.15,1.67,2.42,"[-3.07, 6.40]"
USDJPY,port_calmar_rank,3540,368,0.48,1.36,-0.88,0.61,"[-2.08, 0.33]"
WTI,port_calmar_rank,2424,729,33.58,32.1,1.48,1.98,"[-2.39, 5.36]"
XAUUSD,port_calmar_rank,3231,418,67.94,62.68,5.26,2.5,"[0.35, 10.16]"
BNB,port_roi_rank_broken,2319,3569,8.75,9.08,-0.32,0.76,"[-1.81, 1.16]"
BTC,port_roi_rank_broken,2128,3107,12.17,12.13,0.04,0.92,"[-1.77, 1.84]"
DOGE,port_roi_rank_broken,1743,2241,23.01,22.67,0.34,1.34,"[-2.29, 2.97]"
EURGBP,port_roi_rank_broken,120,12363,20.0,14.68,5.32,3.67,"[-1.86, 12.50]"
EURUSD,port_roi_rank_broken,49,12949,0.0,0.97,-0.97,0.09,"[-1.14, -0.80]"
SOL,port_roi_rank_broken,539,759,23.01,20.29,2.72,2.33,"[-1.85, 7.28]"
USDJPY,port_roi_rank_broken,46,13155,0.0,0.74,-0.74,0.07,"[-0.89, -0.60]"
WTI,port_roi_rank_broken,2202,2971,32.83,34.47,-1.63,1.33,"[-4.23, 0.97]"
XAUUSD,port_roi_rank_broken,1541,2308,68.33,67.33,1.0,1.54,"[-2.01, 4.01]"
