Asset,Filter,Threshold,N_observations,N_windows,Observed Lift (pp),Boot mean (pp),CI low (pp),CI high (pp),p(lift<=0),n_boot_valid
BTC,MC-MDD p50,50,758588,27,-0.153,-0.148,-0.519,0.212,0.7846,10000
BTC,MC-MDD p75,75,758588,27,-0.302,-0.294,-0.827,0.226,0.8681,10000
BTC,MC-MDD p90,90,758588,27,-0.43,-0.422,-1.043,0.189,0.9105,10000
BTC,MC-Calmar p50,50,758588,27,0.057,0.056,-0.276,0.378,0.3663,10000
BTC,MC-Calmar p75,75,758588,27,0.215,0.216,-0.276,0.68,0.1901,10000
BTC,MC-Calmar p90,90,758588,27,0.297,0.298,-0.342,0.912,0.1775,10000
BTC,MC-Ulcer p50,50,758588,27,-0.13,-0.127,-0.609,0.34,0.6966,10000
BTC,MC-Ulcer p75,75,758588,27,-0.263,-0.258,-0.943,0.418,0.7693,10000
DOGE,MC-MDD p50,50,637308,21,0.078,0.079,-0.458,0.612,0.3846,10000
DOGE,MC-MDD p75,75,637308,21,0.175,0.179,-0.638,0.933,0.3215,10000
DOGE,MC-MDD p90,90,637308,21,0.375,0.378,-0.67,1.375,0.2371,10000
DOGE,MC-Calmar p50,50,637308,21,0.122,0.122,-0.229,0.513,0.2661,10000
DOGE,MC-Calmar p75,75,637308,21,0.283,0.287,-0.391,0.977,0.2022,10000
DOGE,MC-Calmar p90,90,637308,21,0.136,0.148,-0.811,1.096,0.3778,10000
DOGE,MC-Ulcer p50,50,637308,21,0.216,0.212,-0.263,0.708,0.1963,10000
DOGE,MC-Ulcer p75,75,637308,21,0.359,0.352,-0.429,1.113,0.1878,10000
BNB,MC-MDD p50,50,935238,30,-0.132,-0.126,-0.581,0.319,0.707,10000
BNB,MC-MDD p75,75,935238,30,-0.123,-0.11,-0.846,0.564,0.6114,10000
BNB,MC-MDD p90,90,935238,30,-0.281,-0.258,-1.346,0.736,0.6782,10000
BNB,MC-Calmar p50,50,935238,30,-0.13,-0.131,-0.439,0.192,0.7943,10000
BNB,MC-Calmar p75,75,935238,30,-0.028,-0.029,-0.517,0.462,0.5542,10000
BNB,MC-Calmar p90,90,935238,30,-0.16,-0.16,-0.909,0.603,0.6644,10000
BNB,MC-Ulcer p50,50,935238,30,-0.096,-0.087,-0.582,0.402,0.6327,10000
BNB,MC-Ulcer p75,75,935238,30,-0.079,-0.064,-0.765,0.6,0.5687,10000
SOL,MC-MDD p50,50,216031,7,-0.001,-0.007,-0.546,0.529,0.5144,10000
SOL,MC-MDD p75,75,216031,7,-0.003,-0.014,-0.819,0.783,0.5115,10000
SOL,MC-MDD p90,90,216031,7,-0.288,-0.3,-1.214,0.737,0.7164,10000
SOL,MC-Calmar p50,50,216031,7,-0.028,-0.028,-0.432,0.423,0.5615,10000
SOL,MC-Calmar p75,75,216031,7,0.015,0.014,-0.676,0.752,0.4906,10000
SOL,MC-Calmar p90,90,216031,7,-0.307,-0.311,-1.574,0.94,0.6837,10000
SOL,MC-Ulcer p50,50,216031,7,0.041,0.028,-0.474,0.515,0.4532,10000
SOL,MC-Ulcer p75,75,216031,7,0.296,0.273,-0.452,1.031,0.2435,10000
EUR/USD,MC-MDD p50,50,819607,15,-0.443,-0.433,-0.653,-0.188,0.9996,10000
EUR/USD,MC-MDD p75,75,819607,15,-0.638,-0.623,-0.902,-0.322,1.0,10000
EUR/USD,MC-MDD p90,90,819607,15,-0.766,-0.748,-1.099,-0.368,1.0,10000
EUR/USD,MC-Calmar p50,50,819607,15,-0.594,-0.6,-0.819,-0.382,1.0,10000
EUR/USD,MC-Calmar p75,75,819607,15,-0.92,-0.927,-1.347,-0.535,1.0,10000
EUR/USD,MC-Calmar p90,90,819607,15,-1.368,-1.372,-2.054,-0.707,1.0,10000
EUR/USD,MC-Ulcer p50,50,819607,15,-0.407,-0.374,-0.781,0.144,0.9284,10000
EUR/USD,MC-Ulcer p75,75,819607,15,-0.887,-0.826,-1.493,0.022,0.9723,10000
USD/JPY,MC-MDD p50,50,809992,15,-0.475,-0.467,-0.687,-0.248,1.0,10000
USD/JPY,MC-MDD p75,75,809992,15,-0.619,-0.607,-0.881,-0.326,1.0,10000
USD/JPY,MC-MDD p90,90,809992,15,-0.612,-0.601,-0.936,-0.267,0.9997,10000
USD/JPY,MC-Calmar p50,50,809992,15,-0.576,-0.578,-0.79,-0.365,1.0,10000
USD/JPY,MC-Calmar p75,75,809992,15,-0.845,-0.844,-1.194,-0.495,1.0,10000
USD/JPY,MC-Calmar p90,90,809992,15,-1.373,-1.371,-1.92,-0.815,1.0,10000
