Asset,Cost Level,MC Filter,IS Pool (n),MC+IS Pool (n),IS OOS PF>1 %,MC+IS OOS PF>1 %,Lift (pp)
BTC,"Baseline (1x fee, 1x slip)",MC-MDD p50,429409,225615,34.0,33.82,-0.18
BTC,"Baseline (1x fee, 1x slip)",MC-Calmar p50,429409,226144,34.0,33.83,-0.18
BTC,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,429409,222969,34.0,33.88,-0.12
BTC,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),429409,144193,34.0,32.69,-1.31
BTC,Fee+100% (2x fee),MC-MDD p50,303249,159904,27.82,27.51,-0.32
BTC,Fee+100% (2x fee),MC-Calmar p50,303249,160368,27.82,27.53,-0.29
BTC,Fee+100% (2x fee),MC-Ulcer p50,303249,158441,27.82,27.63,-0.19
BTC,Fee+100% (2x fee),MC-ROI* p50 (art.),303249,96175,27.82,26.09,-1.74
BTC,Slip+200% (3x slip),MC-MDD p50,279619,147458,26.87,26.54,-0.34
BTC,Slip+200% (3x slip),MC-Calmar p50,279619,147913,26.87,26.56,-0.31
BTC,Slip+200% (3x slip),MC-Ulcer p50,279619,146317,26.87,26.69,-0.19
BTC,Slip+200% (3x slip),MC-ROI* p50 (art.),279619,87841,26.87,25.36,-1.51
BTC,Entry+Indicator drift,MC-MDD p50,424042,222142,33.65,33.52,-0.12
BTC,Entry+Indicator drift,MC-Calmar p50,424042,220360,33.65,33.55,-0.1
BTC,Entry+Indicator drift,MC-Ulcer p50,424042,218942,33.65,33.52,-0.13
BTC,Entry+Indicator drift,MC-ROI* p50 (art.),424042,145684,33.65,32.49,-1.16
DOGE,"Baseline (1x fee, 1x slip)",MC-MDD p50,373628,188357,38.49,38.64,0.15
DOGE,"Baseline (1x fee, 1x slip)",MC-Calmar p50,373628,188737,38.49,38.66,0.16
DOGE,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,373628,187577,38.49,38.77,0.28
DOGE,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),373628,126843,38.49,37.69,-0.8
DOGE,Fee+100% (2x fee),MC-MDD p50,266714,135074,30.65,30.76,0.11
DOGE,Fee+100% (2x fee),MC-Calmar p50,266714,135397,30.65,30.79,0.14
DOGE,Fee+100% (2x fee),MC-Ulcer p50,266714,134832,30.65,30.85,0.2
DOGE,Fee+100% (2x fee),MC-ROI* p50 (art.),266714,85729,30.65,29.43,-1.21
DOGE,Slip+200% (3x slip),MC-MDD p50,247167,125198,29.66,29.81,0.16
DOGE,Slip+200% (3x slip),MC-Calmar p50,247167,125521,29.66,29.85,0.19
DOGE,Slip+200% (3x slip),MC-Ulcer p50,247167,125043,29.66,29.94,0.28
DOGE,Slip+200% (3x slip),MC-ROI* p50 (art.),247167,78720,29.66,28.5,-1.16
DOGE,Entry+Indicator drift,MC-MDD p50,361689,182796,38.81,38.96,0.15
DOGE,Entry+Indicator drift,MC-Calmar p50,361689,182409,38.81,39.0,0.19
DOGE,Entry+Indicator drift,MC-Ulcer p50,361689,182060,38.81,39.08,0.27
DOGE,Entry+Indicator drift,MC-ROI* p50 (art.),361689,126097,38.81,37.84,-0.97
BNB,"Baseline (1x fee, 1x slip)",MC-MDD p50,475457,239920,31.32,31.05,-0.28
BNB,"Baseline (1x fee, 1x slip)",MC-Calmar p50,475457,240474,31.32,31.06,-0.26
BNB,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,475457,236587,31.32,31.12,-0.21
BNB,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),475457,157713,31.32,29.99,-1.33
BNB,Fee+100% (2x fee),MC-MDD p50,319244,160749,25.59,25.11,-0.47
BNB,Fee+100% (2x fee),MC-Calmar p50,319244,161242,25.59,25.15,-0.44
BNB,Fee+100% (2x fee),MC-Ulcer p50,319244,158987,25.59,25.21,-0.38
BNB,Fee+100% (2x fee),MC-ROI* p50 (art.),319244,98470,25.59,24.11,-1.48
BNB,Slip+200% (3x slip),MC-MDD p50,291407,146691,24.69,24.28,-0.41
BNB,Slip+200% (3x slip),MC-Calmar p50,291407,147200,24.69,24.32,-0.37
BNB,Slip+200% (3x slip),MC-Ulcer p50,291407,145266,24.69,24.33,-0.36
BNB,Slip+200% (3x slip),MC-ROI* p50 (art.),291407,88648,24.69,23.31,-1.38
BNB,Entry+Indicator drift,MC-MDD p50,490932,247870,31.22,31.08,-0.15
BNB,Entry+Indicator drift,MC-Calmar p50,490932,246886,31.22,31.1,-0.12
BNB,Entry+Indicator drift,MC-Ulcer p50,490932,244671,31.22,31.16,-0.07
BNB,Entry+Indicator drift,MC-ROI* p50 (art.),490932,167026,31.22,29.88,-1.34
SOL,"Baseline (1x fee, 1x slip)",MC-MDD p50,144261,73110,41.27,41.19,-0.08
SOL,"Baseline (1x fee, 1x slip)",MC-Calmar p50,144261,73497,41.27,41.25,-0.02
SOL,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,144261,74470,41.27,41.15,-0.12
SOL,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),144261,49383,41.27,39.94,-1.33
SOL,Fee+100% (2x fee),MC-MDD p50,114027,57951,34.83,34.44,-0.39
SOL,Fee+100% (2x fee),MC-Calmar p50,114027,58313,34.83,34.54,-0.29
SOL,Fee+100% (2x fee),MC-Ulcer p50,114027,59012,34.83,34.47,-0.36
SOL,Fee+100% (2x fee),MC-ROI* p50 (art.),114027,37437,34.83,33.07,-1.76
SOL,Slip+200% (3x slip),MC-MDD p50,108844,55316,33.78,33.53,-0.25
SOL,Slip+200% (3x slip),MC-Calmar p50,108844,55679,33.78,33.62,-0.16
SOL,Slip+200% (3x slip),MC-Ulcer p50,108844,56385,33.78,33.47,-0.31
SOL,Slip+200% (3x slip),MC-ROI* p50 (art.),108844,35433,33.78,32.28,-1.5
SOL,Entry+Indicator drift,MC-MDD p50,139009,70450,40.8,41.02,0.21
SOL,Entry+Indicator drift,MC-Calmar p50,139009,70704,40.8,40.82,0.01
SOL,Entry+Indicator drift,MC-Ulcer p50,139009,71368,40.8,40.91,0.11
SOL,Entry+Indicator drift,MC-ROI* p50 (art.),139009,48681,40.8,39.47,-1.34
EURUSD,"Baseline (1x fee, 1x slip)",MC-MDD p50,76706,28042,21.39,17.27,-4.11
EURUSD,"Baseline (1x fee, 1x slip)",MC-Calmar p50,76706,31559,21.39,18.65,-2.74
EURUSD,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,76706,34484,21.39,19.41,-1.98
EURUSD,"Baseline (1x fee, 1x slip)",MC-ROI* p50 (art.),76706,23587,21.39,19.69,-1.7
EURUSD,Fee+100% (2x fee),MC-MDD p50,76522,27951,21.4,17.29,-4.12
EURUSD,Fee+100% (2x fee),MC-Calmar p50,76522,31468,21.4,18.66,-2.75
EURUSD,Fee+100% (2x fee),MC-Ulcer p50,76522,34390,21.4,19.43,-1.98
EURUSD,Fee+100% (2x fee),MC-ROI* p50 (art.),76522,23499,21.4,19.69,-1.71
EURUSD,Slip+200% (3x slip),MC-MDD p50,76706,28042,21.39,17.27,-4.11
EURUSD,Slip+200% (3x slip),MC-Calmar p50,76706,31559,21.39,18.65,-2.74
EURUSD,Slip+200% (3x slip),MC-Ulcer p50,76706,34484,21.39,19.41,-1.98
EURUSD,Slip+200% (3x slip),MC-ROI* p50 (art.),76706,23587,21.39,19.69,-1.7
EURUSD,Entry+Indicator drift,MC-MDD p50,84116,35770,21.52,19.47,-2.04
EURUSD,Entry+Indicator drift,MC-Calmar p50,84116,38634,21.52,20.17,-1.35
EURUSD,Entry+Indicator drift,MC-Ulcer p50,84116,39668,21.52,20.32,-1.2
EURUSD,Entry+Indicator drift,MC-ROI* p50 (art.),84116,24224,21.52,20.77,-0.74
USDJPY,"Baseline (1x fee, 1x slip)",MC-MDD p50,67838,22797,20.92,17.15,-3.77
USDJPY,"Baseline (1x fee, 1x slip)",MC-Calmar p50,67838,26546,20.92,18.5,-2.42
USDJPY,"Baseline (1x fee, 1x slip)",MC-Ulcer p50,67838,29202,20.92,19.16,-1.76
