Asset,MC Metric,Threshold,Pass rate | IS PF>1 (%),Pass rate | IS PF<=1 (%),Diff (pp),Selection bias ratio
BTC,MDD,50,52.54,51.24,1.3,1.025
BTC,MDD,75,27.12,26.01,1.1,1.042
BTC,MDD,90,11.28,10.36,0.92,1.089
BTC,Calmar,50,52.66,48.68,3.98,1.082
BTC,Calmar,75,27.24,24.06,3.19,1.132
BTC,Calmar,90,11.36,9.38,1.98,1.212
BTC,Ulcer,50,51.92,50.28,1.65,1.033
BTC,Ulcer,75,26.64,25.37,1.27,1.05
BTC,Ulcer,90,11.12,10.03,1.08,1.108
BTC,ROI*,50,33.58,39.12,-5.55,0.858
BTC,ROI*,75,14.34,18.16,-3.82,0.79
BTC,ROI*,90,5.1,6.98,-1.88,0.73
DOGE,MDD,50,50.41,49.83,0.58,1.012
DOGE,MDD,75,25.41,24.79,0.62,1.025
DOGE,MDD,90,10.22,9.61,0.6,1.063
DOGE,Calmar,50,50.51,50.12,0.4,1.008
DOGE,Calmar,75,25.54,25.16,0.37,1.015
DOGE,Calmar,90,10.3,10.16,0.15,1.015
DOGE,Ulcer,50,50.2,49.5,0.71,1.014
DOGE,Ulcer,75,25.25,24.65,0.6,1.024
DOGE,Ulcer,90,10.22,9.78,0.44,1.044
DOGE,ROI*,50,33.94,39.05,-5.11,0.869
DOGE,ROI*,75,14.65,18.09,-3.45,0.809
DOGE,ROI*,90,5.24,6.87,-1.63,0.763
BNB,MDD,50,50.46,50.62,-0.16,0.997
BNB,MDD,75,25.41,25.22,0.19,1.007
BNB,MDD,90,10.28,9.93,0.35,1.035
BNB,Calmar,50,50.58,49.32,1.26,1.026
BNB,Calmar,75,25.52,24.65,0.88,1.036
BNB,Calmar,90,10.36,9.89,0.48,1.048
BNB,Ulcer,50,49.76,50.18,-0.42,0.992
BNB,Ulcer,75,24.95,24.95,-0.01,1.0
BNB,Ulcer,90,10.05,9.85,0.2,1.02
BNB,ROI*,50,33.17,38.72,-5.56,0.856
BNB,ROI*,75,14.2,17.85,-3.64,0.796
BNB,ROI*,90,5.07,6.9,-1.82,0.736
SOL,MDD,50,50.67,49.65,1.01,1.02
SOL,MDD,75,25.73,25.16,0.57,1.023
SOL,MDD,90,10.41,10.23,0.18,1.018
SOL,Calmar,50,50.94,50.35,0.59,1.012
SOL,Calmar,75,25.95,25.68,0.27,1.01
SOL,Calmar,90,10.57,10.56,0.01,1.001
SOL,Ulcer,50,51.62,49.53,2.09,1.042
SOL,Ulcer,75,26.45,25.01,1.44,1.058
SOL,Ulcer,90,10.82,10.33,0.49,1.048
SOL,ROI*,50,34.22,39.65,-5.43,0.863
SOL,ROI*,75,14.85,18.26,-3.41,0.813
SOL,ROI*,90,5.43,6.92,-1.5,0.784
EUR/USD,MDD,50,36.53,47.89,-11.35,0.763
EUR/USD,MDD,75,16.31,23.84,-7.53,0.684
EUR/USD,MDD,90,6.63,9.62,-2.98,0.69
