Asset,Filter,N,Median OOS PF,Mean OOS PF,% OOS PF>1,Median OOS Sharpe
BTC,MDD all,758588,0.8288,1.1069,31.76,-0.0826
BTC,MDD ≥ p50,394273,0.827,1.1052,31.61,-0.0835
BTC,MDD ≥ p75,202089,0.8265,1.0645,31.46,-0.0837
BTC,MDD ≥ p90,82510,0.8245,1.0395,31.33,-0.0846
BTC,MDD < p50,364315,0.8307,1.1087,31.93,-0.0817
BTC,Calmar all,758588,0.8288,1.1069,31.76,-0.0826
BTC,Calmar ≥ p50,386398,0.8295,1.099,31.82,-0.0823
BTC,Calmar ≥ p75,196181,0.8313,1.0787,31.98,-0.0813
BTC,Calmar ≥ p90,79672,0.8311,1.0735,32.06,-0.0813
BTC,Calmar < p50,372190,0.828,1.115,31.7,-0.0829
BTC,Ulcer all,758588,0.8288,1.1069,31.76,-0.0826
BTC,Ulcer ≥ p50,388470,0.8273,1.1125,31.63,-0.0834
BTC,Ulcer ≥ p75,197936,0.8265,1.1001,31.5,-0.0839
BTC,Ulcer ≥ p90,80769,0.826,1.1346,31.41,-0.0843
BTC,Ulcer < p50,370118,0.8303,1.101,31.9,-0.0818
BTC,ROI* all,758588,0.8288,1.1069,31.76,-0.0826
BTC,ROI* ≥ p50,273000,0.8248,1.0119,30.52,-0.0843
BTC,ROI* ≥ p75,121368,0.8259,0.9925,30.46,-0.0837
BTC,ROI* ≥ p90,44889,0.8264,0.9988,30.66,-0.0835
BTC,ROI* < p50,485588,0.8309,1.1603,32.46,-0.0817
DOGE,MDD all,637308,0.8739,1.1158,35.85,-0.0608
DOGE,MDD ≥ p50,319752,0.8746,1.1138,35.93,-0.0605
DOGE,MDD ≥ p75,160336,0.8758,1.0984,36.02,-0.0601
DOGE,MDD ≥ p90,63530,0.8775,1.0904,36.22,-0.0594
DOGE,MDD < p50,317556,0.873,1.1179,35.77,-0.0611
DOGE,Calmar all,637308,0.8739,1.1158,35.85,-0.0608
DOGE,Calmar ≥ p50,320885,0.8755,1.1104,35.97,-0.06
DOGE,Calmar ≥ p75,161765,0.8767,1.1038,36.13,-0.0595
DOGE,Calmar ≥ p90,65280,0.8774,1.0913,35.98,-0.0593
DOGE,Calmar < p50,316423,0.8723,1.1214,35.72,-0.0616
DOGE,Ulcer all,637308,0.8739,1.1158,35.85,-0.0608
DOGE,Ulcer ≥ p50,318087,0.8753,1.1172,36.06,-0.0602
DOGE,Ulcer ≥ p75,159306,0.8761,1.1143,36.21,-0.0599
DOGE,Ulcer ≥ p90,63958,0.8761,1.1145,36.22,-0.0598
DOGE,Ulcer < p50,319221,0.8725,1.1144,35.63,-0.0614
DOGE,ROI* all,637308,0.8739,1.1158,35.85,-0.0608
DOGE,ROI* ≥ p50,229827,0.8732,1.0492,34.93,-0.0612
DOGE,ROI* ≥ p75,102437,0.8718,1.0305,34.52,-0.062
DOGE,ROI* ≥ p90,37709,0.8712,1.029,34.47,-0.0624
DOGE,ROI* < p50,407481,0.8743,1.1534,36.36,-0.0606
BNB,MDD all,935238,0.7876,1.036,28.42,-0.1017
