Asset,Block,Threshold,Baseline OOS%,Filter OOS%,Lift (pp),N pass
BTC,iid,p50,31.76,31.61,-0.156,394680
BTC,block2,p50,31.76,31.52,-0.241,385915
BTC,block3,p50,31.76,31.41,-0.353,377008
BTC,block5,p50,31.76,31.07,-0.698,357105
BTC,block10,p50,31.76,30.82,-0.941,335150
BTC,block20,p50,31.76,31.48,-0.283,326778
DOGE,iid,p50,35.85,35.91,0.06,320098
DOGE,block2,p50,35.85,35.77,-0.076,315305
DOGE,block3,p50,35.85,35.7,-0.151,309497
DOGE,block5,p50,35.85,35.31,-0.536,296334
DOGE,block10,p50,35.85,35.05,-0.794,280746
DOGE,block20,p50,35.85,35.34,-0.509,270714
BNB,iid,p50,28.42,28.28,-0.141,473139
BNB,block2,p50,28.42,28.23,-0.192,469371
BNB,block3,p50,28.42,28.06,-0.362,461982
BNB,block5,p50,28.42,27.59,-0.835,441141
BNB,block10,p50,28.42,27.33,-1.095,416496
BNB,block20,p50,28.42,27.88,-0.542,401108
SOL,iid,p50,39.34,39.32,-0.017,108915
SOL,block2,p50,39.34,39.22,-0.122,106927
SOL,block3,p50,39.34,39.2,-0.144,104033
SOL,block5,p50,39.34,38.6,-0.739,98891
SOL,block10,p50,39.34,38.35,-0.995,92536
SOL,block20,p50,39.34,38.69,-0.651,90517
EUR/USD,iid,p50,11.8,11.27,-0.523,385957
EUR/USD,block2,p50,11.8,11.22,-0.575,385919
EUR/USD,block3,p50,11.8,11.09,-0.705,384493
EUR/USD,block5,p50,11.8,10.74,-1.058,377742
EUR/USD,block10,p50,11.8,10.54,-1.253,364554
EUR/USD,block20,p50,11.8,10.82,-0.975,346310
USD/JPY,iid,p50,9.21,8.7,-0.517,382990
USD/JPY,block2,p50,9.21,8.65,-0.558,383298
USD/JPY,block3,p50,9.21,8.51,-0.7,381736
USD/JPY,block5,p50,9.21,8.18,-1.036,373442
USD/JPY,block10,p50,9.21,7.99,-1.226,358563
USD/JPY,block20,p50,9.21,8.48,-0.728,342653
EUR/GBP,iid,p50,26.55,25.57,-0.986,370582
EUR/GBP,block2,p50,26.55,25.46,-1.092,370244
EUR/GBP,block3,p50,26.55,25.35,-1.203,368616
EUR/GBP,block5,p50,26.55,24.99,-1.562,361564
EUR/GBP,block10,p50,26.55,24.61,-1.938,347118
EUR/GBP,block20,p50,26.55,24.54,-2.012,327218
XAU/USD,iid,p50,55.0,55.08,0.085,430178
XAU/USD,block2,p50,55.0,55.11,0.111,425358
XAU/USD,block3,p50,55.0,55.11,0.117,420870
XAU/USD,block5,p50,55.0,55.27,0.269,407559
XAU/USD,block10,p50,55.0,55.25,0.254,386696
XAU/USD,block20,p50,55.0,55.07,0.076,367762
WTI,iid,p50,43.41,43.59,0.179,416781
WTI,block2,p50,43.41,43.54,0.136,413111
WTI,block3,p50,43.41,43.51,0.105,409413
WTI,block5,p50,43.41,43.41,-0.003,395457
WTI,block10,p50,43.41,43.26,-0.151,377706
WTI,block20,p50,43.41,43.24,-0.172,363493
