Asset,Block size,N strat-windows,Mean MDD rank,Median MDD rank,Std,% rank < 50
BTC,iid,758956,51.35,52.0,28.9,47.97
BTC,block2,758956,50.46,50.8,28.91,49.13
BTC,block3,758956,49.53,49.6,29.07,50.31
BTC,block5,758956,47.05,47.6,29.57,52.93
BTC,block10,758956,44.33,45.8,29.68,55.82
BTC,block20,758956,43.11,45.8,29.74,56.92
DOGE,iid,637604,50.05,50.2,28.89,49.78
DOGE,block2,637604,49.44,49.4,28.87,50.53
DOGE,block3,637604,48.72,48.6,28.95,51.44
DOGE,block5,637604,46.67,47.0,29.35,53.51
DOGE,block10,637604,44.34,45.4,29.5,55.95
DOGE,block20,637604,42.64,44.8,29.68,57.52
BNB,iid,935576,50.27,50.4,28.88,49.41
BNB,block2,935576,49.92,50.0,28.9,49.81
BNB,block3,935576,49.25,49.4,28.99,50.61
BNB,block5,935576,47.12,47.8,29.45,52.84
BNB,block10,935576,44.53,46.2,29.66,55.46
BNB,block20,935576,42.86,45.8,29.75,57.11
SOL,iid,216184,50.26,50.4,29.02,49.59
SOL,block2,216184,49.44,49.4,28.94,50.51
SOL,block3,216184,48.43,48.2,29.05,51.86
SOL,block5,216184,45.97,46.4,29.56,54.24
SOL,block10,216184,43.36,44.0,29.61,57.17
SOL,block20,216184,42.19,44.0,29.79,58.1
EUR/USD,iid,819822,47.49,46.8,29.74,52.91
EUR/USD,block2,819822,47.45,47.0,29.71,52.92
EUR/USD,block3,819822,47.22,46.8,29.72,53.09
EUR/USD,block5,819822,46.36,46.2,29.78,53.92
EUR/USD,block10,819822,44.75,45.2,29.81,55.52
EUR/USD,block20,819822,42.4,43.8,29.75,57.75
USD/JPY,iid,810273,47.58,47.0,29.75,52.72
USD/JPY,block2,810273,47.51,47.2,29.71,52.68
USD/JPY,block3,810273,47.27,47.0,29.69,52.88
USD/JPY,block5,810273,46.27,46.2,29.75,53.91
USD/JPY,block10,810273,44.39,45.2,29.77,55.74
USD/JPY,block20,810273,42.27,44.2,29.65,57.7
EUR/GBP,iid,818896,46.08,45.0,29.83,54.74
EUR/GBP,block2,818896,45.99,45.0,29.81,54.78
EUR/GBP,block3,818896,45.71,44.8,29.81,54.98
EUR/GBP,block5,818896,44.84,44.0,29.87,55.84
EUR/GBP,block10,818896,43.1,42.6,29.89,57.6
EUR/GBP,block20,818896,40.61,40.6,29.89,60.03
XAU/USD,iid,817395,51.82,52.6,28.93,47.35
XAU/USD,block2,817395,51.34,52.0,28.96,47.94
XAU/USD,block3,817395,50.89,51.4,29.04,48.5
XAU/USD,block5,817395,49.33,49.8,29.41,50.13
XAU/USD,block10,817395,46.9,48.2,29.69,52.67
XAU/USD,block20,817395,44.72,47.0,29.82,54.99
WTI,iid,814419,50.77,51.2,28.97,48.81
WTI,block2,814419,50.41,50.6,28.99,49.26
WTI,block3,814419,49.97,50.2,29.05,49.72
WTI,block5,814419,48.28,48.8,29.42,51.43
WTI,block10,814419,46.16,47.6,29.65,53.61
WTI,block20,814419,44.44,46.8,29.74,55.35
