Asset,MC Metric,Pearson r,p-value,R-squared %,N
BTC,MDD,-0.0045,1.05e-04,0.002,758588
BTC,Calmar,0.0024,3.52e-02,0.001,758588
BTC,Ulcer,-0.0045,1.04e-04,0.002,758588
BTC,ROI*,-0.0246,1.58e-101,0.06,758588
DOGE,MDD,0.0031,1.29e-02,0.001,637308
DOGE,Calmar,0.0038,2.67e-03,0.001,637308
DOGE,Ulcer,0.0052,3.06e-05,0.003,637308
DOGE,ROI*,-0.0179,3.44e-46,0.032,637308
BNB,MDD,-0.0036,4.86e-04,0.001,935238
BNB,Calmar,-0.0033,1.33e-03,0.001,935238
BNB,Ulcer,-0.0026,1.24e-02,0.001,935238
BNB,ROI*,-0.0291,2.56e-174,0.085,935238
SOL,MDD,-0.0016,4.63e-01,0.0,216031
SOL,Calmar,-0.0012,5.86e-01,0.0,216031
SOL,Ulcer,0.0002,9.19e-01,0.0,216031
SOL,ROI*,-0.0195,1.40e-19,0.038,216031
EUR/USD,MDD,-0.023,1.74e-96,0.053,819607
EUR/USD,Calmar,-0.0276,2.50e-138,0.076,819607
EUR/USD,Ulcer,-0.019,4.09e-66,0.036,819607
EUR/USD,ROI*,0.029,5.98e-152,0.084,819607
USD/JPY,MDD,-0.0266,2.41e-126,0.071,809992
USD/JPY,Calmar,-0.0294,1.26e-154,0.087,809992
USD/JPY,Ulcer,-0.0116,1.07e-25,0.014,809992
USD/JPY,ROI*,0.0359,5.41e-229,0.129,809992
EUR/GBP,MDD,-0.0287,3.06e-148,0.082,818656
EUR/GBP,Calmar,-0.0206,2.61e-77,0.042,818656
EUR/GBP,Ulcer,-0.0248,1.18e-111,0.062,818656
EUR/GBP,ROI*,0.0315,8.27e-179,0.099,818656
XAU/USD,MDD,-0.0002,8.43e-01,0.0,817097
XAU/USD,Calmar,0.002,7.40e-02,0.0,817097
XAU/USD,Ulcer,-0.0008,4.52e-01,0.0,817097
XAU/USD,ROI*,-0.0085,1.16e-14,0.007,817097
WTI,MDD,0.0051,4.72e-06,0.003,814176
WTI,Calmar,0.0034,2.15e-03,0.001,814176
WTI,Ulcer,0.005,7.12e-06,0.002,814176
WTI,ROI*,-0.0023,3.71e-02,0.001,814176
