Asset,Family,N strat-windows,Mean MC-MDD,Mean MC-Calmar,Mean MC-Ulcer,Mean MC-ROI*,Same-win OOS Prof%
BTC,ATR,153896,51.63,50.3,51.07,38.77,33.58
BTC,EMA,34913,51.97,50.79,51.58,38.72,34.45
BTC,OTHER,52543,51.23,50.35,50.43,42.4,25.93
BTC,PPO,228464,51.11,50.43,50.6,39.81,30.87
BTC,RSI,100868,51.53,50.9,51.05,39.85,33.79
BTC,SMA,30244,51.35,51.14,51.02,39.61,32.99
BTC,STOCHK,157992,51.19,50.58,50.8,39.52,31.03
DOGE,ATR,126282,49.64,50.42,49.71,39.36,36.28
DOGE,EMA,33751,50.21,50.28,49.83,38.81,40.2
DOGE,OTHER,47664,50.39,50.22,50.05,42.27,28.25
DOGE,PPO,179765,50.32,50.13,50.27,39.81,35.3
DOGE,RSI,89782,49.98,50.1,49.69,39.52,37.84
DOGE,SMA,33703,49.66,49.97,49.51,39.27,37.23
DOGE,STOCHK,126648,50.02,49.91,49.78,39.63,36.03
BNB,ATR,183975,50.68,50.4,50.18,38.74,29.44
BNB,EMA,48716,50.92,50.09,50.52,39.06,31.04
BNB,OTHER,68840,50.09,50.07,49.76,42.29,21.09
BNB,PPO,257931,49.8,49.73,49.44,39.86,28.4
BNB,RSI,134260,50.59,49.63,50.29,39.9,29.31
BNB,SMA,50530,50.29,49.63,49.89,39.67,28.37
BNB,STOCHK,191324,50.2,49.79,49.95,39.1,28.78
SOL,ATR,42227,49.9,50.64,50.69,37.8,42.81
SOL,EMA,11163,51.28,50.98,51.88,37.86,44.84
SOL,OTHER,16228,49.33,49.3,49.5,42.07,33.89
SOL,PPO,59733,50.57,50.38,50.83,40.32,35.9
SOL,RSI,30929,50.3,50.72,50.42,39.82,41.99
SOL,SMA,11582,50.3,51.01,50.41,39.25,40.28
SOL,STOCHK,44322,50.24,50.42,50.58,39.78,39.05
EUR/USD,ATR,145988,47.24,50.13,48.75,28.78,13.01
EUR/USD,EMA,38309,46.62,50.48,48.83,29.71,12.91
EUR/USD,OTHER,53448,46.57,52.27,48.66,26.01,8.02
EUR/USD,PPO,199903,47.47,50.77,48.96,27.7,10.12
EUR/USD,RSI,198997,47.4,50.65,48.76,28.5,12.23
EUR/USD,SMA,38659,46.93,50.9,48.56,29.48,12.19
EUR/USD,STOCHK,144518,47.66,49.86,48.95,28.77,13.26
USD/JPY,ATR,143286,47.35,49.44,48.17,28.86,12.52
USD/JPY,EMA,38176,46.93,50.14,47.77,29.05,9.68
USD/JPY,OTHER,53424,46.56,52.33,46.25,25.08,5.45
USD/JPY,PPO,198178,47.83,50.22,48.19,26.66,7.87
USD/JPY,RSI,198028,47.62,50.47,48.12,27.26,8.39
USD/JPY,SMA,38400,47.88,50.03,47.84,28.55,9.0
USD/JPY,STOCHK,140781,47.95,49.44,48.23,27.93,10.23
EUR/GBP,ATR,146102,46.25,49.61,48.13,31.36,26.64
EUR/GBP,EMA,38395,44.39,49.81,46.56,32.21,29.81
EUR/GBP,OTHER,53249,45.01,52.46,46.46,30.18,21.88
EUR/GBP,PPO,199463,46.55,50.24,48.11,30.95,24.62
EUR/GBP,RSI,198624,45.85,50.27,47.46,31.82,27.04
EUR/GBP,SMA,38561,45.1,50.22,47.22,32.45,29.68
EUR/GBP,STOCHK,144502,45.67,49.85,47.46,31.42,28.45
XAU/USD,ATR,141262,51.47,50.72,51.44,32.94,53.78
XAU/USD,EMA,37718,51.36,51.0,51.2,32.99,54.04
XAU/USD,OTHER,53233,51.72,51.25,51.12,33.4,59.06
XAU/USD,PPO,199258,52.0,51.46,51.91,33.55,54.05
XAU/USD,RSI,198413,52.51,52.0,52.38,32.88,56.0
XAU/USD,SMA,38706,50.99,50.6,50.86,33.39,53.06
XAU/USD,STOCHK,148805,52.0,51.4,51.95,33.13,55.25
WTI,ATR,141311,50.41,49.91,50.39,33.78,43.55
WTI,EMA,37673,50.12,50.05,50.18,33.54,43.71
WTI,OTHER,52840,51.68,50.97,51.56,35.52,44.26
WTI,PPO,198452,50.99,50.33,50.92,34.61,42.08
WTI,RSI,197755,50.92,50.46,50.9,34.17,44.69
WTI,SMA,38637,49.89,50.04,49.89,34.32,43.8
WTI,STOCHK,147751,50.68,50.19,50.65,34.35,42.79
