config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
crypto,10,1,21,14.201670354501653,154.11934680443414,0.921472264771697,61.20744028900435,28.700000000000003,79.10000000000001,79.10000000000001,86.0
crypto,10,2,26,22.8782997242165,351.2595199280695,0.6513218411532731,193.54451499913924,79.80000000000001,7.6000000000000005,7.6000000000000005,4.2
crypto,10,3,23,-43.643235264356136,514.3995414492811,-0.8484306798057146,312.6617747275185,3.5,28.1,71.9,24.6
crypto,10,4,13,-9.545028238420251,193.013327473372,-0.4945268994306664,107.54021921073128,42.5,54.900000000000006,45.0,50.0
crypto,10,5,20,-27.31995518184126,643.7414108845405,-0.42439331569957495,307.7727202735364,5.2,0.1,99.9,4.800000000000001
crypto,10,6,16,36.10260833887755,106.91917926933615,3.3766260259006295,40.45138941565785,76.3,80.5,81.80000000000001,86.9
crypto,10,7,21,-47.6323181723143,465.0793662765865,-1.024176121887699,273.48677413461996,2.7,70.7,29.200000000000003,64.8
crypto,10,8,29,17.6258738434396,297.30428639353636,0.5928563646777884,119.9756041820506,60.300000000000004,30.400000000000002,30.400000000000002,43.6
crypto,10,9,22,2.188834697850251,368.2057639054002,0.05944596506676654,209.6384497833934,46.800000000000004,6.5,6.5,4.7
crypto,10,10,24,56.34935948555195,246.97943959232657,2.281540503070389,90.8575047324614,49.800000000000004,2.6,2.6,4.3
crypto,10,11,22,-10.1521928538851,219.06935328555812,-0.463423692160704,105.93767569793022,28.1,78.10000000000001,21.900000000000002,80.7
crypto,10,12,113,34.165117898761075,470.84805133657255,0.7256081404983685,127.61020989390792,6.9,46.400000000000006,46.400000000000006,95.0
crypto,10,13,24,34.51128227124751,212.2830144759239,1.6257203788276529,84.3617210386364,0.0,25.900000000000002,25.900000000000002,28.6
crypto,10,14,33,-7.170610520862635,267.8960104941576,-0.267663953174809,111.81560460451134,95.5,80.0,20.0,91.10000000000001
crypto,10,15,27,37.854506578163324,110.03924467978436,3.4400914590354046,51.1405831249378,0.0,93.60000000000001,93.60000000000001,89.7
crypto,10,16,24,-50.168512589617876,588.9407825203841,-0.8518430728284889,281.9998823560469,12.9,32.5,67.4,71.8
crypto,10,17,12,-12.096382054753368,155.65202241649934,-0.7771426202471967,97.06792395396849,53.6,90.9,9.1,75.60000000000001
crypto,10,18,33,-62.09720134005161,763.9664728477311,-0.8128262632858815,479.12802948399286,3.9000000000000004,21.8,78.2,12.0
crypto,10,19,28,46.04532141513303,219.58072950697374,2.0969654995918328,72.14913821229594,79.80000000000001,26.0,26.0,49.0
crypto,10,20,12,-12.08683202994938,251.5288516547762,-0.48053461662277136,166.7594138466632,83.30000000000001,30.400000000000002,69.60000000000001,14.4
crypto,10,21,26,27.720834259763684,160.54658418556824,1.7266536314296461,64.8876598159407,31.8,72.7,72.7,74.0
crypto,10,22,18,-31.500067892807852,385.2181117157461,-0.8177203234943394,179.31254617253782,0.0,38.900000000000006,61.1,71.8
crypto,10,23,14,-20.937745497489672,226.5304292433308,-0.9242796019690186,125.94055495203749,74.3,80.4,19.6,77.5
crypto,10,24,31,31.116389386171928,107.68039132377783,2.8896987653592277,41.31041836595404,34.7,99.5,99.5,99.9
crypto,10,25,25,-40.976839089115465,548.7873095530215,-0.7466797860630278,235.00081071870358,25.700000000000003,30.8,69.2,78.7
crypto,10,26,15,40.234417928219116,326.0415608560536,1.2340272762337345,137.0024698186883,0.2,5.9,5.9,10.100000000000001
crypto,10,27,31,7.935758894888383,252.93751564319223,0.3137438459735252,108.91197880241957,80.2,76.3,76.3,83.80000000000001
crypto,10,28,12,-2.028194070490502,180.76927579826815,-0.1121979419087728,106.5889809288256,18.6,53.400000000000006,46.6,36.9
crypto,10,29,14,-13.036878833485071,315.162782243254,-0.4136554050161525,180.77675446262165,2.3000000000000003,9.8,90.0,11.700000000000001
crypto,10,30,29,-25.934749483835223,294.9896034851663,-0.8791750345581032,179.53093700083429,6.6000000000000005,91.80000000000001,8.200000000000001,78.5
crypto,15,1,33,4.168919810198577,325.8820860019939,0.12792724697892935,149.34171105493138,65.2,40.6,40.6,45.800000000000004
crypto,15,2,43,-3.416476325131115,596.5991311145027,-0.05726586156350613,329.6161851300322,8.8,4.2,95.80000000000001,4.0
crypto,15,3,30,-42.958674840724406,601.2210414383424,-0.7145238087135377,372.37564195009315,62.0,18.400000000000002,81.60000000000001,14.200000000000001
crypto,15,4,20,-24.421565740020764,305.77320675288445,-0.7986823305861932,166.2465262724153,71.7,64.8,35.2,64.2
crypto,15,5,29,-26.092313382889238,688.5324329878238,-0.3789554730147427,428.9279147018576,86.60000000000001,0.6000000000000001,99.4,0.1
crypto,15,6,39,72.64277410077558,269.3533748536579,2.6969320187743353,85.97332114423558,19.0,17.3,17.3,33.7
crypto,15,7,29,-65.52351538285198,626.2585859099041,-1.0462693343780909,371.03832907021047,0.0,75.9,23.6,65.4
crypto,15,8,38,34.663044018600026,297.30428639353636,1.16591134420165,117.08769264100259,50.2,31.700000000000003,31.700000000000003,42.0
crypto,15,9,32,35.8094557492318,368.2057639054002,0.9725392500491112,176.8257305424018,58.900000000000006,4.4,4.4,4.0
crypto,15,10,34,80.20677210497459,246.97943959232657,3.247508061293153,85.79564959950781,3.7,7.0,7.0,9.200000000000001
crypto,15,11,32,-19.99815398527361,219.06935328555812,-0.9128686274618204,116.90068868843467,47.6,98.10000000000001,1.9000000000000001,94.60000000000001
crypto,15,12,132,37.490854420217346,512.8710631014567,0.7309996043352687,205.15322746719056,72.2,46.6,46.6,58.1
crypto,15,13,36,2.6638362357159227,390.2840966053159,0.06825377356868811,135.93972808604207,18.1,23.700000000000003,23.700000000000003,64.4
crypto,15,14,44,-31.055389426170148,484.362079662674,-0.6411606261125595,175.06261422730887,76.4,56.6,43.400000000000006,94.7
crypto,15,15,41,35.23256909965761,166.29039749999993,2.118737439403717,64.23261844984093,30.400000000000002,93.0,93.0,96.80000000000001
crypto,15,16,30,-42.71704101264556,588.9407825203841,-0.7253197992137191,328.8906004558952,20.200000000000003,28.900000000000002,71.10000000000001,35.4
crypto,15,17,17,-26.369684287407146,281.8487222806616,-0.9355970846356553,148.23058432442673,18.6,74.3,25.700000000000003,80.10000000000001
crypto,15,18,51,-76.78832785571392,910.8777380043543,-0.8430146511643788,612.3507729154461,33.7,30.1,69.9,9.3
crypto,15,19,30,60.219872780064556,219.58072950697374,2.7424935200496274,71.13277270140999,61.0,22.5,22.5,38.900000000000006
crypto,15,20,18,5.350482275522756,251.5288516547762,0.21271843131802246,160.61900654294655,62.300000000000004,23.700000000000003,23.700000000000003,6.300000000000001
crypto,15,21,45,39.19135303284276,255.48265039768467,1.5340123085398343,94.58485208498088,31.1,49.800000000000004,49.800000000000004,61.0
crypto,15,22,29,-37.82701548848938,581.1120276096128,-0.6509418785236591,343.2223151598679,14.4,7.300000000000001,92.7,8.8
crypto,15,23,30,-17.365858893794794,319.14626271015504,-0.5441348034699145,180.91441593310606,65.60000000000001,69.8,30.200000000000003,56.300000000000004
crypto,15,24,58,3.3599308481020578,402.546361996864,0.08346692866468466,190.0747402787231,62.400000000000006,34.300000000000004,34.300000000000004,36.9
crypto,15,25,37,-58.3712943224547,722.7318618864139,-0.8076480006028635,401.0164935870922,10.200000000000001,35.5,64.5,43.300000000000004
crypto,15,26,18,36.51658029906624,434.78308509657745,0.8398804266029551,203.67702652599027,7.1000000000000005,1.6,1.6,2.8000000000000003
crypto,15,27,42,8.748611918652486,252.93751564319223,0.3458803608632642,109.09533351652111,35.2,88.80000000000001,88.80000000000001,91.80000000000001
crypto,15,28,13,-7.382512103070289,216.9527072494269,-0.3402820917363681,118.77678076906152,24.3,46.6,53.400000000000006,46.7
crypto,15,29,20,-41.135143201203654,526.0844365635071,-0.781911426042309,272.9496557775739,5.7,14.4,85.30000000000001,39.6
crypto,15,30,38,-4.5622806755871235,294.9896034851663,-0.15465903278237195,171.67379518284525,98.7,77.10000000000001,22.900000000000002,52.6
crypto,20,1,45,-2.98882762299135,471.4479431706907,-0.06339676874800208,245.72840090450464,88.9,23.900000000000002,76.10000000000001,22.200000000000003
crypto,20,2,50,-31.260504094699698,875.0394088101887,-0.35724681402869984,422.45498412433597,52.400000000000006,1.2000000000000002,98.80000000000001,9.600000000000001
crypto,20,3,54,-49.497862873173226,728.1656815796399,-0.6797609956815799,472.10773655344934,25.3,30.400000000000002,69.60000000000001,15.9
crypto,20,4,36,-57.817596618248245,629.5044386715032,-0.9184620959983323,348.335225648402,24.1,54.7,45.300000000000004,59.900000000000006
crypto,20,5,38,-42.25950678728731,793.1369269390009,-0.5328147681937073,491.10173927942867,16.1,2.0,98.0,1.9000000000000001
crypto,20,6,55,61.172264356572924,269.3533748536579,2.2710784444341328,110.12198610848698,52.2,62.2,62.2,56.900000000000006
crypto,20,7,43,-103.013153330343,1072.7157127889154,-0.9603024557412584,581.5074380856098,3.3000000000000003,43.900000000000006,56.1,66.3
crypto,20,8,50,21.08350202644891,297.30428639353636,0.70915566950626,115.54690330953802,11.8,66.0,66.0,78.7
crypto,20,9,36,54.46386420659729,368.2057639054002,1.4791692457207217,166.77946697277278,22.5,3.2,3.2,2.6
crypto,20,10,46,90.92298190741067,267.3774114160724,3.4005483644212275,98.7968103954658,76.4,19.700000000000003,19.700000000000003,16.400000000000002
crypto,20,11,43,-21.39742751900722,284.85649736457185,-0.7511651556826472,145.22037314100228,33.0,96.0,4.0,93.30000000000001
crypto,20,12,144,48.24114344302608,512.8710631014567,0.9406095783860391,226.20285243752278,15.8,52.900000000000006,52.900000000000006,48.300000000000004
crypto,20,13,48,3.003695394058721,404.90938117775215,0.07418191658889034,202.4771150950123,41.1,43.400000000000006,43.400000000000006,37.800000000000004
crypto,20,14,49,-43.00800714165764,603.8882568175488,-0.7121848563227077,240.1195048427341,48.1,52.300000000000004,47.7,90.10000000000001
crypto,20,15,49,39.29673340441336,339.5812880222745,1.1572113891574536,120.4992419877869,34.4,22.8,22.8,41.0
crypto,20,16,34,-49.79746220738324,588.9407825203841,-0.8455427724715207,355.50937745907504,14.3,52.1,47.900000000000006,41.1
crypto,20,17,24,-41.65569618638189,452.68810751941703,-0.9201853438262715,243.0672844099867,76.9,55.800000000000004,44.2,65.4
crypto,20,18,76,-102.58689281022635,1168.863387549479,-0.8776636679954504,773.2354723612958,74.7,34.5,65.5,12.4
crypto,20,19,36,55.34966128295798,219.58072950697374,2.5206975770248596,73.11076469940951,12.5,43.5,43.5,61.6
crypto,20,20,23,-6.471318607828248,251.5288516547762,-0.25727937631227077,148.41214668393746,45.900000000000006,62.400000000000006,37.6,42.0
crypto,20,21,57,63.52771496101577,255.48265039768467,2.4865764803257067,94.95156884561216,34.300000000000004,53.800000000000004,53.800000000000004,57.800000000000004
crypto,20,22,39,-16.69420771932882,581.1120276096128,-0.2872803680901246,348.05076263732474,31.3,4.7,95.30000000000001,3.3000000000000003
