config,n_top,n_windows,mean_n_trades,mdd_mean,mdd_pct_below_50,mdd_pct_above_90,calmar_mean,ulcer_mean,roi_artefact_mean,actual_oos_roi_mean,actual_oos_roi_median,pct_actual_roi_positive
commodity,10,15,225.4,47.89,53.33,13.33,49.25,44.26,29.68,39.94,44.82,60.0
commodity,15,15,357.53,36.85,60.0,20.0,45.71,35.26,40.18,49.83,62.09,60.0
commodity,20,15,490.73,27.55,73.33,6.67,26.23,24.68,22.24,73.47,32.41,73.33
crypto,10,30,177.67,50.26,46.67,16.67,54.95,50.19,30.23,-54.05,-57.49,33.33
crypto,15,30,269.4,47.24,60.0,10.0,42.52,50.69,31.65,-75.65,-59.67,33.33
crypto,20,30,361.9,36.03,76.67,0.0,52.27,42.58,37.15,-92.18,-68.97,30.0
forex,10,15,218.87,56.64,40.0,6.67,37.12,52.49,29.57,-0.83,-0.79,13.33
forex,15,15,325.47,56.49,40.0,6.67,36.76,55.06,23.43,-1.35,-1.62,13.33
forex,20,15,424.33,55.48,40.0,6.67,39.96,65.01,27.02,-1.93,-2.21,13.33
mixed_30,30,15,621.8,36.63,73.33,13.33,47.63,35.55,37.39,10.2,27.03,60.0
