config,n_top,n_windows,mean_n_trades,mdd_mean,mdd_pct_below_50,mdd_pct_above_90,calmar_mean,ulcer_mean,roi_artefact_mean,actual_oos_roi_mean,actual_oos_roi_median,pct_actual_roi_positive
commodity,10,15,49.33,45.79,53.33,6.67,65.61,53.33,25.01,11.45,11.68,66.67
commodity,15,15,74.87,49.34,53.33,13.33,58.99,55.83,20.88,12.76,14.62,66.67
commodity,20,15,94.2,40.34,66.67,6.67,53.85,49.69,33.99,13.37,22.17,73.33
crypto,10,30,25.27,48.19,53.33,13.33,48.71,53.49,34.47,-0.25,-4.6,46.67
crypto,15,30,36.27,39.59,70.0,6.67,46.05,43.37,40.71,-2.32,-3.99,46.67
crypto,20,30,47.7,40.15,53.33,3.33,52.19,39.84,44.22,-6.23,-7.45,40.0
forex,10,15,209.93,61.29,40.0,20.0,38.71,62.26,38.29,-0.95,-0.64,0.0
forex,15,15,299.73,51.23,53.33,13.33,52.89,52.16,28.91,-1.25,-0.97,6.67
forex,20,15,377.6,58.98,40.0,26.67,43.05,51.11,37.1,-1.53,-1.73,13.33
mixed_30,30,15,288.2,41.79,73.33,13.33,40.33,37.25,49.01,17.86,16.94,73.33
